Animal ID,Name,DateTime,MonthYear,Date of Birth,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Outcome
A675251,,03/26/2014 03:54:00 PM,03/26/2014 03:54:00 PM,03/25/2013,Cat,Intact Female,1 year,Domestic Longhair Mix,Brown Tabby/White,0
A720573,Trixie,05/13/2016 01:26:00 PM,05/13/2016 01:26:00 PM,06/12/2015,Dog,Spayed Female,11 months,American Pit Bull Terrier Mix,Tan/White,0
A828911,*Zahara,06/19/2021 01:38:00 PM,06/19/2021 01:38:00 PM,01/28/2020,Dog,Spayed Female,1 year,Pit Bull,Brown Brindle/White,0
A842829,Toby,09/22/2021 12:20:00 PM,09/22/2021 12:20:00 PM,09/22/2016,Dog,Intact Male,5 years,Chihuahua Shorthair Mix,Black/Tan,0
A781304,*Lumos,10/19/2018 04:33:00 PM,10/19/2018 04:33:00 PM,09/27/2017,Dog,Neutered Male,1 year,Great Pyrenees Mix,White,0
A678868,,08/05/2014 07:58:00 AM,08/05/2014 07:58:00 AM,05/05/2014,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White,0
A814242,Leia,07/07/2020 08:30:00 AM,07/07/2020 08:30:00 AM,09/11/2012,Dog,Spayed Female,7 years,Akita,Black/White,0
A670723,Pequena,01/13/2014 04:01:00 PM,01/13/2014 04:01:00 PM,01/13/2011,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Tan,0
A721331,*Maggie,03/05/2016 05:11:00 PM,03/05/2016 05:11:00 PM,01/09/2016,Dog,Spayed Female,1 month,German Shepherd Mix,Tan,0
A680428,,06/02/2014 05:40:00 PM,06/02/2014 05:40:00 PM,06/02/2013,Other,Unknown,1 year,Raccoon Mix,Black/White,1
A690722,*Felicity,11/23/2014 06:19:00 PM,11/23/2014 06:19:00 PM,09/01/2014,Cat,Spayed Female,2 months,Domestic Longhair Mix,Black/White,0
A821291,,08/07/2020 04:41:00 PM,08/07/2020 04:41:00 PM,08/07/2018,Other,Unknown,2 years,Bat,Brown,1
A709263,*Piper,09/12/2015 05:40:00 PM,09/12/2015 05:40:00 PM,07/06/2015,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,0
A766653,Akira,02/17/2018 05:23:00 PM,02/17/2018 05:23:00 PM,02/13/2012,Cat,Spayed Female,6 years,Domestic Shorthair Mix,White/Brown Tabby,0
A688668,,09/26/2014 02:47:00 PM,09/26/2014 02:47:00 PM,07/31/2014,Dog,Intact Female,1 month,Whippet/Dachshund,White,0
A665387,,10/17/2013 01:32:00 PM,10/17/2013 01:32:00 PM,10/02/2013,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie,0
A682628,Bernard,07/11/2014 06:18:00 PM,07/11/2014 06:18:00 PM,06/30/2011,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Black/White,0
A747709,*Pearl,05/23/2017 05:04:00 PM,05/23/2017 05:04:00 PM,03/16/2017,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Orange Tabby,0
A695342,Jacki,01/17/2015 06:29:00 PM,01/17/2015 06:29:00 PM,10/30/2014,Dog,Spayed Female,2 months,Australian Shepherd/Chihuahua Shorthair,Black/Tan,0
A724345,Prieta,05/04/2016 02:46:00 PM,05/04/2016 02:46:00 PM,04/16/2015,Dog,Intact Female,1 year,German Shepherd Mix,Black/Tan,0
A704346,,06/03/2015 06:17:00 PM,06/03/2015 06:17:00 PM,05/03/2015,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Calico,0
A772888,Jazz,06/23/2020 11:24:00 AM,06/23/2020 11:24:00 AM,09/24/2014,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Brown,0
A695337,*Hailey,01/18/2015 04:07:00 PM,01/18/2015 04:07:00 PM,03/14/2014,Dog,Intact Female,10 months,Labrador Retriever Mix,Black/White,0
A819199,,06/29/2020 04:54:00 PM,06/29/2020 04:54:00 PM,06/23/2018,Dog,Neutered Male,2 years,Chihuahua Shorthair,Red/White,0
A770459,Harvey,05/02/2018 03:37:00 PM,05/02/2018 03:37:00 PM,04/20/2017,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,White/Tricolor,0
A802233,Dusty,08/17/2019 04:21:00 PM,08/17/2019 04:21:00 PM,02/15/2018,Other,Intact Male,1 year,Guinea Pig,White/Tricolor,0
A818791,Ladybird,08/01/2020 12:00:00 AM,08/01/2020 12:00:00 AM,01/02/2020,Dog,Spayed Female,6 months,Labrador Retriever/Great Pyrenees,Tan/White,0
A764002,Einstein,12/21/2017 12:32:00 PM,12/21/2017 12:32:00 PM,12/20/2016,Dog,Intact Male,1 year,Maltese/Miniature Poodle,Black,0
A789752,*Tasha,03/03/2019 05:20:00 PM,03/03/2019 05:20:00 PM,02/26/2017,Dog,Spayed Female,2 years,Siberian Husky Mix,White/Black,0
A772850,,05/28/2018 05:33:00 PM,05/28/2018 05:33:00 PM,03/17/2018,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,0
A754869,*Ladybird,08/10/2017 11:00:00 AM,08/10/2017 11:00:00 AM,09/25/2016,Dog,Intact Female,10 months,Collie Smooth Mix,Tan/White,0
A665743,Max,12/12/2015 02:19:00 PM,12/12/2015 02:19:00 PM,12/22/2012,Dog,Neutered Male,2 years,Jack Russell Terrier/Chihuahua Shorthair,White/Brown,0
A718698,Myah,01/20/2016 12:00:00 AM,01/20/2016 12:00:00 AM,01/05/2014,Dog,Spayed Female,2 years,Australian Shepherd Mix,White/Blue Tick,0
A755371,Hope,08/03/2017 11:18:00 AM,08/03/2017 11:18:00 AM,08/03/2002,Dog,Intact Female,15 years,Chihuahua Shorthair Mix,Brown,0
A779620,Stars,09/08/2018 12:02:00 PM,09/08/2018 12:02:00 PM,09/04/2010,Dog,Spayed Female,8 years,Cocker Spaniel Mix,Tan,0
A663956,Haven,12/01/2013 05:55:00 PM,12/01/2013 05:55:00 PM,09/27/2009,Dog,Spayed Female,4 years,Australian Shepherd Mix,Tricolor,0
A789593,Poprock,02/28/2019 12:23:00 PM,02/28/2019 12:23:00 PM,04/07/2017,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Cream Tabby/White,0
A710257,,08/24/2015 04:32:00 PM,08/24/2015 04:32:00 PM,06/27/2015,Dog,Spayed Female,1 month,German Shepherd/Labrador Retriever,Brown/Black,0
A729159,,06/14/2016 12:03:00 PM,06/14/2016 12:03:00 PM,12/14/2015,Other,Unknown,6 months,Opossum,Gray,1
A690586,,10/26/2014 06:09:00 PM,10/26/2014 06:09:00 PM,10/22/2009,Dog,Spayed Female,5 years,Chihuahua Longhair Mix,White,0
A723111,,03/27/2016 09:03:00 AM,03/27/2016 09:03:00 AM,03/26/2015,Other,Unknown,1 year,Bat Mix,Brown/White,1
A694520,Pickle,01/02/2015 05:57:00 PM,01/02/2015 05:57:00 PM,03/01/2014,Dog,Neutered Male,10 months,Dachshund,Black/White,0
A670518,Paloma,01/09/2014 03:26:00 PM,01/09/2014 03:26:00 PM,01/09/1999,Dog,Intact Female,15 years,German Shepherd Mix,Brown/Black,1
A721545,*Goodwin,03/07/2016 08:20:00 AM,03/07/2016 08:20:00 AM,08/29/2015,Dog,Neutered Male,6 months,Labrador Retriever/Pit Bull,Black/White,0
A655701,*Lissa,12/12/2013 11:16:00 AM,12/12/2013 11:16:00 AM,06/04/2009,Dog,Spayed Female,4 years,Bull Terrier Miniature Mix,White/Brown,0
A759587,Morgan,01/28/2018 05:42:00 PM,01/28/2018 05:42:00 PM,10/04/2007,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Silver Tabby,0
A781364,*Sam,05/23/2019 01:43:00 PM,05/23/2019 01:43:00 PM,09/28/2016,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White,0
A675007,,03/29/2014 04:38:00 PM,03/29/2014 04:38:00 PM,01/06/2014,Dog,Spayed Female,2 months,Chihuahua Shorthair/Dachshund,Chocolate/Brown,0
A800776,Buster Brown,07/27/2019 05:10:00 PM,07/27/2019 05:10:00 PM,10/26/2018,Dog,Neutered Male,9 months,Pembroke Welsh Corgi,Red/White,0
A717944,*Lassie,12/23/2015 07:02:00 PM,12/23/2015 07:02:00 PM,03/18/2015,Dog,Spayed Female,9 months,Chihuahua Longhair Mix,Brown/Black,0
A808721,Lively,02/28/2020 04:20:00 PM,02/28/2020 04:20:00 PM,03/12/2019,Dog,Spayed Female,11 months,Belgian Malinois,Brown/Black,0
A718887,Junior,04/18/2016 02:43:00 PM,04/18/2016 02:43:00 PM,01/08/2015,Dog,Neutered Male,1 year,Miniature Poodle Mix,White/White,0
A680650,S'Mores,06/09/2014 12:00:00 PM,06/09/2014 12:00:00 PM,08/09/2013,Dog,Intact Female,9 months,Boxer/Boston Terrier,Brown/White,0
A756390,Puddles,10/17/2017 12:00:00 AM,10/17/2017 12:00:00 AM,04/06/2009,Cat,Spayed Female,8 years,Domestic Shorthair,Brown Tabby/White,0
A819421,Butters,07/16/2020 11:59:00 AM,07/16/2020 11:59:00 AM,04/13/2020,Cat,Intact Female,3 months,Domestic Medium Hair,Black,0
A735597,,09/26/2016 11:33:00 AM,09/26/2016 11:33:00 AM,09/26/2014,Other,Unknown,2 years,Raccoon,Gray/Black,1
A788522,,02/04/2019 10:16:00 AM,02/04/2019 10:16:00 AM,11/19/2018,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue,1
A757786,,09/21/2017 03:21:00 PM,09/21/2017 03:21:00 PM,05/06/2017,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black,0
A820279,*Melani,07/23/2020 06:08:00 PM,07/23/2020 06:08:00 PM,01/16/2020,Dog,Spayed Female,6 months,Blue Lacy/Pit Bull,Blue/White,0
A729093,Gizmo,06/22/2016 03:35:00 PM,06/22/2016 03:35:00 PM,04/13/2016,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,0
A719980,Onyx,02/05/2016 07:26:00 PM,02/05/2016 07:26:00 PM,11/26/2015,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,0
A663914,Kona,12/18/2013 04:43:00 PM,12/18/2013 04:43:00 PM,07/11/2013,Dog,Spayed Female,5 months,Labrador Retriever/Flat Coat Retriever,Black,0
A686888,Chiquita,08/12/2015 01:55:00 PM,08/12/2015 01:55:00 PM,08/28/2000,Dog,Intact Female,14 years,Chihuahua Shorthair Mix,Tan,1
A686644,,08/28/2014 06:09:00 PM,08/28/2014 06:09:00 PM,06/06/2014,Dog,Neutered Male,2 months,Chihuahua Shorthair/Jack Russell Terrier,Black/Tan,0
A711419,*Minkey,09/11/2015 01:56:00 PM,09/11/2015 01:56:00 PM,07/22/2015,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby,0
A807682,,11/01/2019 05:59:00 PM,11/01/2019 05:59:00 PM,06/28/2019,Cat,Intact Female,4 months,Domestic Medium Hair,Tortie,0
A769485,Sharky,06/16/2021 10:34:00 AM,06/16/2021 10:34:00 AM,04/05/2008,Dog,Neutered Male,13 years,Staffordshire Mix,Black/White,0
A697713,Rambo,04/15/2018 04:21:00 PM,04/15/2018 04:21:00 PM,02/27/2014,Dog,Neutered Male,4 years,Labrador Retriever/Black Mouth Cur,Tan/White,0
A671822,*Milo,02/10/2014 11:57:00 AM,02/10/2014 11:57:00 AM,01/31/2006,Dog,Intact Male,8 years,German Shepherd Mix,Black/Tan,0
A752742,Elmer,06/27/2017 07:20:00 PM,06/27/2017 07:20:00 PM,06/27/2015,Dog,Intact Male,2 years,American Bulldog Mix,White/Brown Brindle,0
A709341,Buttercup,08/07/2015 06:13:00 PM,08/07/2015 06:13:00 PM,08/07/2002,Dog,Spayed Female,13 years,Chihuahua Shorthair Mix,Black/Tan,0
A710901,,09/03/2015 06:48:00 PM,09/03/2015 06:48:00 PM,08/29/2013,Dog,Neutered Male,2 years,Labrador Retriever/German Shepherd,Black/Tan,0
A804165,,09/15/2019 07:06:00 PM,09/15/2019 07:06:00 PM,03/11/2019,Cat,Intact Male,6 months,Domestic Shorthair,Orange Tabby,0
A835976,835976,06/08/2021 09:04:00 AM,06/08/2021 09:04:00 AM,04/04/2021,Cat,Intact Male,2 months,Domestic Shorthair,Brown Tabby,1
A822716,Elegant,09/10/2020 06:00:00 PM,09/10/2020 06:00:00 PM,06/23/2020,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,0
A767872,Delilah,03/14/2018 11:42:00 AM,03/14/2018 11:42:00 AM,08/08/2017,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Brown Tabby,0
A691284,*Queso,11/26/2014 06:50:00 PM,11/26/2014 06:50:00 PM,09/25/2014,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,0
A794722,,05/12/2019 06:24:00 PM,05/12/2019 06:24:00 PM,03/11/2019,Dog,Neutered Male,2 months,Cairn Terrier,Brown/Black,0
A795779,*Maya,07/04/2019 03:07:00 PM,07/04/2019 03:07:00 PM,05/24/2018,Cat,Spayed Female,1 year,Domestic Shorthair,Calico,0
A811108,Gohan,12/31/2019 02:20:00 PM,12/31/2019 02:20:00 PM,12/28/2017,Dog,Intact Male,2 years,Siberian Husky,White,0
A699082,Rascal,03/26/2015 06:49:00 PM,03/26/2015 06:49:00 PM,03/22/2005,Dog,Neutered Male,10 years,Dachshund Mix,Black/Brown,0
A742203,Roota,07/08/2019 01:50:00 PM,07/08/2019 01:50:00 PM,02/17/2016,Dog,Neutered Male,3 years,Black Mouth Cur Mix,Tan/Black,0
A696409,*Hans,02/09/2015 06:46:00 PM,02/09/2015 06:46:00 PM,11/19/2014,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,0
A794304,Little Girl,05/18/2019 04:33:00 PM,05/18/2019 04:33:00 PM,05/06/2016,Dog,Spayed Female,3 years,Pit Bull Mix,Tan/White,0
A833813,Rocky,05/10/2021 06:10:00 PM,05/10/2021 06:10:00 PM,05/06/2019,Dog,Intact Male,2 years,Miniature Poodle/Bernese Mountain Dog,White/Black,0
A733120,Poquito,03/02/2017 09:39:00 PM,03/02/2017 09:39:00 PM,06/03/2014,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,White/Red,0
A679879,Carnelo,08/07/2014 02:05:00 PM,08/07/2014 02:05:00 PM,05/27/2013,Dog,Neutered Male,1 year,Pit Bull Mix,White/Tan,0
A734858,Max,07/08/2017 02:42:00 PM,07/08/2017 02:42:00 PM,09/14/2015,Dog,Intact Male,1 year,Pug Mix,Brown/Black,0
A775043,*Jet,08/27/2018 07:20:00 PM,08/27/2018 07:20:00 PM,06/23/2006,Dog,Neutered Male,12 years,Chihuahua Shorthair Mix,Black,0
A770516,,04/28/2018 04:23:00 PM,04/28/2018 04:23:00 PM,12/05/2017,Dog,Spayed Female,4 months,Dachshund Mix,Brown Brindle,0
A819321,*Petunia,08/05/2020 08:02:00 AM,08/05/2020 08:02:00 AM,06/25/2018,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Calico,0
A824947,,11/05/2020 02:51:00 PM,11/05/2020 02:51:00 PM,10/16/2020,Dog,Intact Male,2 weeks,Labrador Retriever,Sable/White,1
A677626,Peppa,06/11/2014 04:46:00 PM,06/11/2014 04:46:00 PM,03/22/2014,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,0
A740118,Canelo,01/02/2017 04:07:00 PM,01/02/2017 04:07:00 PM,03/11/2016,Dog,Intact Male,9 months,Beagle Mix,Brown,0
A815071,,03/10/2020 02:48:00 PM,03/10/2020 02:48:00 PM,10/26/2019,Dog,Intact Male,4 months,Pit Bull,Fawn/White,0
A715704,*Happy,11/27/2015 01:45:00 PM,11/27/2015 01:45:00 PM,11/08/2013,Dog,Neutered Male,2 years,Boxer/Beagle,White/Brown,0
A792383,Chocolate,06/08/2019 05:43:00 PM,06/08/2019 05:43:00 PM,04/09/2017,Dog,Neutered Male,2 years,Australian Kelpie Mix,Brown/White,0
A799077,,07/07/2019 03:54:00 PM,07/07/2019 03:54:00 PM,01/04/2019,Cat,Intact Female,6 months,Domestic Shorthair,Gray Tabby/White,0
A842305,A842305,09/18/2021 12:09:00 PM,09/18/2021 12:09:00 PM,09/13/2020,Dog,Spayed Female,1 year,Jack Russell Terrier Mix,Red/White,0
A700856,Suzie,04/23/2015 04:08:00 PM,04/23/2015 04:08:00 PM,04/20/2012,Dog,Spayed Female,3 years,Shih Tzu,Brown/White,0
A814937,*Leo,05/20/2020 08:36:00 AM,05/20/2020 08:36:00 AM,03/01/2020,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,0
A620531,*Colt,02/11/2017 03:37:00 PM,02/11/2017 03:37:00 PM,03/21/2011,Dog,Neutered Male,5 years,Pit Bull Mix,Brown Brindle/Tan,0
A782459,*Dillo,11/23/2018 11:56:00 AM,11/23/2018 11:56:00 AM,02/15/2018,Dog,Neutered Male,9 months,German Shepherd Mix,Black/Tan,0
A708374,,07/29/2015 12:12:00 PM,07/29/2015 12:12:00 PM,01/26/2015,Other,Unknown,6 months,Bat,Brown,1
A738288,*Willow,12/04/2016 06:29:00 PM,12/04/2016 06:29:00 PM,11/12/2014,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Torbie/White,0
A785432,,12/05/2018 04:01:00 PM,12/05/2018 04:01:00 PM,12/03/2016,Dog,Intact Male,2 years,Tibetan Spaniel Mix,Brown/White,0
A751864,,06/18/2017 12:00:00 AM,06/18/2017 12:00:00 AM,06/14/2016,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White,0
A635866,Muneca,10/13/2014 01:21:00 PM,10/13/2014 01:21:00 PM,10/06/2005,Dog,Spayed Female,9 years,German Shepherd Mix,Sable,0
A736452,,10/14/2016 06:14:00 PM,10/14/2016 06:14:00 PM,08/10/2016,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White,0
A700826,,04/25/2015 02:52:00 PM,04/25/2015 02:52:00 PM,04/20/2013,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan,0
A693765,Yoda,12/18/2018 01:53:00 PM,12/18/2018 01:53:00 PM,12/16/2006,Dog,Spayed Female,12 years,Miniature Poodle/Maltese,White,0
A734343,,09/05/2016 04:53:00 PM,09/05/2016 04:53:00 PM,07/21/2016,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby,0
A740827,Booboo,12/24/2016 01:48:00 PM,12/24/2016 01:48:00 PM,12/23/2011,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Brown Tabby,0
A747342,,07/01/2017 08:06:00 PM,07/01/2017 08:06:00 PM,04/15/2017,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby,0
A778551,Marley,08/18/2018 04:42:00 PM,08/18/2018 04:42:00 PM,08/16/2016,Dog,Intact Male,2 years,Pit Bull Mix,Brown Brindle,0
A776525,*Ruby Rose,07/22/2018 05:03:00 PM,07/22/2018 05:03:00 PM,03/15/2018,Dog,Spayed Female,4 months,Labrador Retriever Mix,Black,0
A775155,,06/25/2018 07:02:00 PM,06/25/2018 07:02:00 PM,06/25/2016,Other,Unknown,2 years,Raccoon Mix,Black/Gray,1
A694377,Josephine,12/27/2014 11:25:00 AM,12/27/2014 11:25:00 AM,12/27/2006,Dog,Spayed Female,8 years,Labrador Retriever Mix,Black/White,0
A717917,Dino,12/23/2015 06:30:00 PM,12/23/2015 06:30:00 PM,08/17/2014,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White,0
A822768,*Mario,10/23/2020 12:56:00 PM,10/23/2020 12:56:00 PM,07/09/2020,Cat,Neutered Male,3 months,Domestic Shorthair,Black/White,0
A711642,,09/10/2015 04:21:00 PM,09/10/2015 04:21:00 PM,08/19/2015,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,0
A819617,,07/06/2020 11:24:00 AM,07/06/2020 11:24:00 AM,11/02/2019,Other,Unknown,8 months,Raccoon,Black/Gray,1
A760328,Cherir,10/22/2017 06:28:00 PM,10/22/2017 06:28:00 PM,02/16/2017,Dog,Spayed Female,8 months,Labrador Retriever Mix,Black,0
A386688,Punch,08/29/2015 05:46:00 PM,08/29/2015 05:46:00 PM,11/16/2004,Dog,Neutered Male,10 years,German Shepherd Mix,Brown/White,0
A838093,Boots,10/05/2021 05:58:00 PM,10/05/2021 05:58:00 PM,04/19/2021,Cat,Neutered Male,5 months,Domestic Shorthair,Brown Tabby/White,0
A688236,*Daphne,10/25/2014 12:34:00 PM,10/25/2014 12:34:00 PM,09/16/2013,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black/White,0
A766321,Luna,02/07/2018 03:02:00 PM,02/07/2018 03:02:00 PM,02/06/2017,Dog,Intact Female,1 year,Black Mouth Cur/German Shepherd,Brown/Black,0
A678767,,05/13/2014 03:19:00 PM,05/13/2014 03:19:00 PM,04/13/2014,Dog,Intact Female,4 weeks,Bernese Mountain Dog,Tricolor,0
A728554,,06/06/2016 08:38:00 AM,06/06/2016 08:38:00 AM,05/05/2016,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Blue Tabby,1
A782283,Willie Mae,10/13/2018 12:06:00 PM,10/13/2018 12:06:00 PM,10/12/2016,Dog,Spayed Female,2 years,Rhod Ridgeback Mix,Red,0
A698403,Sweet Girl,03/21/2015 06:38:00 PM,03/21/2015 06:38:00 PM,03/11/2013,Dog,Spayed Female,2 years,Great Pyrenees Mix,White,0
A776687,Gracie,08/18/2018 02:39:00 PM,08/18/2018 02:39:00 PM,11/17/2016,Dog,Spayed Female,1 year,Border Collie/Beagle,Black/White,0
A731867,Trixie,10/20/2020 05:49:00 PM,10/20/2020 05:49:00 PM,01/30/2014,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Orange Tabby/White,0
A810741,Trey Trey,12/19/2019 05:25:00 PM,12/19/2019 05:25:00 PM,12/18/2017,Dog,Neutered Male,2 years,Miniature Schnauzer Mix,Black/Gray,0
A729461,Mia,06/21/2016 03:06:00 PM,06/21/2016 03:06:00 PM,06/18/2014,Dog,Spayed Female,2 years,Border Collie Mix,White/Black,0
A674907,,03/21/2014 02:21:00 PM,03/21/2014 02:21:00 PM,03/20/2012,Cat,Intact Female,2 years,American Shorthair Mix,Black/White,0
A775645,*Bijou,09/11/2018 01:03:00 PM,09/11/2018 01:03:00 PM,07/02/2018,Dog,Spayed Female,2 months,Cairn Terrier Mix,Tan/White,0
A760649,,10/22/2017 07:48:00 AM,10/22/2017 07:48:00 AM,10/21/2015,Other,Unknown,2 years,Bat Mix,Brown,1
A809823,Little Girl,12/05/2019 01:33:00 PM,12/05/2019 01:33:00 PM,12/02/2017,Dog,Intact Female,2 years,Basenji/Carolina Dog,Tan/White,0
A684194,,07/20/2014 03:15:00 PM,07/20/2014 03:15:00 PM,07/20/2013,Other,Unknown,1 year,Squirrel Mix,Tan/Brown,1
A683594,Trinity,07/24/2014 05:14:00 PM,07/24/2014 05:14:00 PM,07/12/2012,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby,0
A686118,*Ingrid,08/24/2014 02:23:00 PM,08/24/2014 02:23:00 PM,07/16/2014,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White,0
A699390,Roscco,03/30/2015 04:58:00 PM,03/30/2015 04:58:00 PM,03/26/2013,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tricolor,0
A719821,Valentine,06/21/2017 01:33:00 PM,06/21/2017 01:33:00 PM,01/28/2015,Dog,Spayed Female,2 years,Pit Bull Mix,Brown Brindle/White,0
A806824,,10/23/2019 05:44:00 PM,10/23/2019 05:44:00 PM,08/23/2019,Cat,Neutered Male,1 month,Domestic Shorthair,Brown Tabby/White,0
A777410,*Serendipity,08/04/2018 03:40:00 PM,08/04/2018 03:40:00 PM,04/28/2018,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie,0
A783023,Howie B,12/26/2018 06:36:00 PM,12/26/2018 06:36:00 PM,10/24/2015,Dog,Neutered Male,3 years,Pointer/Boxer,White/Brown Brindle,0
A803373,*Freddie Mercury,09/07/2019 08:30:00 AM,09/07/2019 08:30:00 AM,08/31/2018,Dog,Intact Male,1 year,Pit Bull,Black/White,0
A798183,*Gemini,06/28/2019 04:47:00 PM,06/28/2019 04:47:00 PM,08/22/2018,Dog,Intact Female,10 months,Doberman Pinsch,Black/Tan,0
A802432,*Tabi,11/29/2019 12:08:00 PM,11/29/2019 12:08:00 PM,07/09/2019,Cat,Spayed Female,4 months,Domestic Shorthair,Brown Tabby,0
A706807,*Summer,09/20/2015 06:20:00 PM,09/20/2015 06:20:00 PM,07/03/2013,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby,0
A702097,Bella,05/09/2015 03:21:00 PM,05/09/2015 03:21:00 PM,05/09/2014,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Black/Tan,0
A792288,,04/25/2019 12:25:00 PM,04/25/2019 12:25:00 PM,04/08/2018,Dog,Intact Female,1 year,Norfolk Terrier/Chihuahua Shorthair,Tan,0
A754089,,07/15/2017 06:54:00 PM,07/15/2017 06:54:00 PM,06/25/2017,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby,0
A758825,,09/22/2017 02:53:00 PM,09/22/2017 02:53:00 PM,09/22/2016,Bird,Unknown,1 year,Chicken,White/Tan,1
A725405,*Chalupa,07/09/2016 07:18:00 PM,07/09/2016 07:18:00 PM,04/01/2016,Cat,Spayed Female,3 months,Domestic Longhair Mix,Black,0
A701292,,05/01/2015 11:29:00 AM,05/01/2015 11:29:00 AM,04/27/2002,Cat,Neutered Male,13 years,Domestic Shorthair Mix,Orange Tabby/White,1
