SIN with a Learning Rate of: 0.1 and Hidden Unit count of: 6

===PRE-TRAINING TESTING===
Multi Layered Perceptron Size: 4, 6, 1
Epochs: 10000
Learning Rate: 0.1

Target: [-0.9693991500910609]	Output: [0.9797645313835333]
Target: [0.8775237145700098]	Output: [-0.9156233443413857]
Target: [-0.2967872441678223]	Output: [0.4099769225827871]
Target: [-0.9708187551741428]	Output: [0.989302214865884]
Target: [0.9994473380083809]	Output: [-0.9883147415233159]
Target: [-0.2557854039637212]	Output: [0.9666894424258703]
Target: [-0.591401807871056]	Output: [0.9951905478308115]
Target: [0.10276030120071748]	Output: [-0.8491820741062533]
Target: [0.6021334951512206]	Output: [-0.867304566203549]
Target: [0.9999024014990039]	Output: [-0.8155792143279235]
Target: [-0.3012736766949756]	Output: [-0.30408997995774967]
Target: [-0.795041315634188]	Output: [0.8988067757380698]
Target: [0.9182545339952142]	Output: [0.7370986570555893]
Target: [0.46839152094236]	Output: [-0.4984239905403551]
Target: [-0.11284139883527997]	Output: [-0.34189358153520977]
Target: [0.9864500172057007]	Output: [-0.7061053187207643]
Target: [-0.3522207815382249]	Output: [0.8958000241243604]
Target: [-0.17083802778135637]	Output: [-0.9254962962012463]
Target: [0.8715973671843363]	Output: [-0.9684895569021872]
Target: [0.9983010814712516]	Output: [-0.9593500113116324]
Target: [0.1004211346335098]	Output: [-0.8819013645347771]
Target: [-0.7426843693455414]	Output: [0.9949958884948191]
Target: [-0.5744478901396873]	Output: [0.9839212236973496]
Target: [-0.4523805954689482]	Output: [0.9888393438573633]
Target: [-0.9594110478511805]	Output: [-0.22283594577774077]
Target: [-0.11569239798938215]	Output: [0.9019097335746666]
Target: [-0.29233508012621284]	Output: [-0.901991838330607]
Target: [0.6170929492513294]	Output: [-0.2259272047253495]
Target: [-0.5803487198518767]	Output: [-0.009493152200680827]
Target: [0.9406669956011239]	Output: [-0.9190427176930841]
Target: [-0.4387885571829045]	Output: [-0.9671148226846166]
Target: [0.20145233278369376]	Output: [0.9037256486484772]
Target: [0.2817228415628383]	Output: [0.9290538019385206]
Target: [-0.9135727208426287]	Output: [0.9475053546825793]
Target: [-0.8051812033156301]	Output: [0.4345464117233325]
Target: [-0.6425005450689112]	Output: [0.7177774269732261]
Target: [0.7307928565541941]	Output: [-0.993215291024781]
Target: [-0.4003492333686076]	Output: [0.9896387323172737]
Target: [0.9961711332395912]	Output: [-0.9903923213063551]
Target: [0.31936290837550413]	Output: [-0.3966283257970607]
Target: [-0.9789371478848857]	Output: [0.9669106354547828]
Target: [-0.926827957888605]	Output: [0.5386022019368014]
Target: [0.13449338341920464]	Output: [0.8879592453583188]
Target: [-0.9340990736568767]	Output: [0.9922918528139841]
Target: [-0.5607601096314329]	Output: [0.9813409931370334]
Target: [0.7288760807509279]	Output: [-0.977245220986416]
Target: [0.5245637381897946]	Output: [0.43481428227093266]
Target: [0.30839627524334845]	Output: [0.17462797661380772]
Target: [0.5342370345629787]	Output: [-0.5779724613044043]
Target: [-0.24841994199096937]	Output: [-0.9792633788491878]
Target: [0.9471778913321891]	Output: [0.10092793736672996]
Target: [0.8255188165143468]	Output: [-0.5923350235844853]
Target: [-0.8556852660087619]	Output: [0.5919471223168362]
Target: [0.8608819793331736]	Output: [-0.8691237931545147]
Target: [-0.9998396710807577]	Output: [0.9878979418494529]
Target: [0.12931709694438054]	Output: [0.07858486793651111]
Target: [-0.3790515964682325]	Output: [0.7117586623005014]
Target: [-0.09829385699832142]	Output: [-0.9420357360619864]
Target: [-0.7207246583708126]	Output: [-0.5188851560323215]
Target: [0.9672697514032518]	Output: [-0.9875687608305295]
Target: [0.6172265266750864]	Output: [0.9494731656153655]
Target: [-0.4588174390030305]	Output: [0.7654586770046797]
Target: [-0.45750681927706677]	Output: [0.2617434270024146]
Target: [-0.3875576010591934]	Output: [0.08007477271183733]
Target: [0.9873904964446992]	Output: [-0.9939306182486275]
Target: [0.2885134796871864]	Output: [-0.9928566371250646]
Target: [0.44294388362367093]	Output: [-0.9917234401255631]
Target: [-0.530710014246284]	Output: [-0.7245736691406135]
Target: [0.8021121313779217]	Output: [-0.996396508455117]
Target: [-0.5776020132398666]	Output: [-0.9358118123114594]
Target: [-0.9325836740938757]	Output: [-0.7283412267603242]
Target: [-0.8999116614062694]	Output: [0.9909856659556239]
Target: [0.8362340607170575]	Output: [-0.9182439675002093]
Target: [-0.9989500464396937]	Output: [0.9926714807755362]
Target: [0.9437980811694969]	Output: [0.783886153339554]
Target: [-0.11777624564527697]	Output: [0.94051980732344]
Target: [-0.12881934272530382]	Output: [0.05582270031215849]
Target: [0.939951350455283]	Output: [0.4211772957170907]
Target: [0.999770665107129]	Output: [-0.9559821432595322]
Target: [0.25983589185074724]	Output: [0.9006398914245995]
Target: [-0.9311549328570163]	Output: [0.9638609699704401]
Target: [-0.25431950760701866]	Output: [0.777795381357209]
Target: [0.5507507361143836]	Output: [0.719455835615719]
Target: [0.8200808053184687]	Output: [-0.8798582461903347]
Target: [-0.8301608347036307]	Output: [0.9937602890473596]
Target: [-0.4870731154065347]	Output: [0.8468642542470249]
Target: [-0.9453416066003766]	Output: [0.9957198633448495]
Target: [-0.8861231749503349]	Output: [0.9093821533823753]
Target: [-0.9396313528370037]	Output: [-0.239347876340089]
Target: [0.181346857520494]	Output: [0.8989791852272315]
Target: [-0.6749440692670913]	Output: [0.6279008027941269]
Target: [-0.7553042289523855]	Output: [0.9827565348880712]
Target: [-0.5479593630062469]	Output: [0.9833143658342887]
Target: [-0.5363653264353888]	Output: [0.7211503265545275]
Target: [0.9609112187497647]	Output: [-0.9113290416458196]
Target: [-0.969183847181308]	Output: [0.9900821467873616]
Target: [0.9938048295442895]	Output: [-0.8046711036462851]
Target: [0.6810126269051721]	Output: [-0.993975186915367]
Target: [0.793373209827801]	Output: [-0.971149767652569]
Target: [-0.9960782936673459]	Output: [0.9877785387254635]
Target: [-0.4917134982505512]	Output: [0.5214656689082436]
Target: [-0.7345768126028811]	Output: [0.9857358552868603]
Target: [-0.3452881913510451]	Output: [0.975621396683629]
Target: [0.610672797289399]	Output: [-0.9764540428989086]
Target: [0.6741804163661593]	Output: [0.5653802851456086]
Target: [0.9961646308548235]	Output: [-0.9921102015294175]
Target: [0.9994125252121752]	Output: [-0.9915081473235734]
Target: [0.9415631083256797]	Output: [-0.8792169856768048]
Target: [-0.9220446820255709]	Output: [0.7063277360440451]
Target: [-0.3468114113654809]	Output: [-0.8137174621211196]
Target: [0.6369822025246336]	Output: [-0.9856754359482457]
Target: [-0.6123909474532573]	Output: [-0.9380196855341975]
Target: [-0.9999962946897274]	Output: [0.6785215282962612]
Target: [0.6910549245883905]	Output: [-0.9525205687421613]
Target: [-0.9946435404509357]	Output: [0.8059560029137035]
Target: [0.4523631569850726]	Output: [0.8499995679337641]
Target: [-0.1591579687671602]	Output: [-0.9393868285322775]
Target: [-0.8908020621996293]	Output: [0.9570432504389649]
Target: [0.07420030970117387]	Output: [-0.8949146740402203]
Target: [0.18419776920402056]	Output: [0.26461530499866365]
Target: [0.852276428967806]	Output: [0.2097822656114785]
Target: [-0.007749499664845426]	Output: [-0.9797373884427988]
Target: [-0.349237244926739]	Output: [0.03583210371134014]
Target: [-0.25044764316892426]	Output: [0.5370209109228878]
Target: [-0.7978087727497623]	Output: [0.9800057733042736]
Target: [0.7765353813348485]	Output: [-0.9346207256877661]
Target: [0.9080609250354071]	Output: [-0.7159524968467406]
Target: [0.9947457428860513]	Output: [-0.677093854905928]
Target: [-0.15784582649243994]	Output: [-0.5931114164276231]
Target: [0.8560225473872157]	Output: [-0.9504336347667413]
Target: [0.3874552671512745]	Output: [-0.9827234229156628]
Target: [0.5094172593021022]	Output: [0.9741667350065772]
Target: [-0.9028538601541848]	Output: [0.9492277473141786]
Target: [-0.9464036387243854]	Output: [0.9879716680656531]
Target: [0.27172960920180333]	Output: [-0.9330120368352136]
Target: [-0.012808833502714632]	Output: [-0.9886787230928569]
Target: [0.46201091414739354]	Output: [0.7967920806028881]
Target: [-0.6031597554263158]	Output: [0.6918222158105954]
Target: [-0.9673095550989166]	Output: [0.9776321216751263]
Target: [0.291695020994867]	Output: [-0.8736750487824634]
Target: [0.03143932599061098]	Output: [-0.5348873115077581]
Target: [0.43601155600159347]	Output: [-0.9886667154072533]
Target: [0.9511643138358155]	Output: [0.44171781876714056]
Target: [0.04995626185607656]	Output: [-0.983956831097463]
Target: [-0.8247833399287612]	Output: [0.9859178387266264]
Target: [-0.5447417529396257]	Output: [0.9852426640322617]
Target: [0.6711190711713944]	Output: [-0.9682764194683623]
Target: [0.9996015281964458]	Output: [-0.9809023737100481]
Target: [-0.715370825647809]	Output: [-0.9765575544885771]
Target: [0.9779846568765764]	Output: [-0.6242645883090865]
Target: [0.8433316545703622]	Output: [0.8066943827944394]
Target: [0.6805187893184583]	Output: [-0.9942739942783777]
Target: [-0.7957754108240404]	Output: [0.9505455736035342]
Target: [-0.47545406499070075]	Output: [0.9338326439792966]
Target: [0.622800225481821]	Output: [-0.9903323537472732]
Target: [0.9617205754404948]	Output: [-0.9923502119906579]
Target: [-0.25076013603221725]	Output: [0.9683954130531311]
Target: [-0.9488810305686076]	Output: [0.9855518445766037]
Target: [0.5948499987644565]	Output: [-0.6196711275564861]
Target: [0.23324834668260153]	Output: [-0.6605505595520608]
Target: [0.9604982828005417]	Output: [-0.9517576765870426]
Target: [-0.6946421778214638]	Output: [0.9398010340885143]
Target: [-0.6652957550521855]	Output: [0.9505288584532773]
Target: [0.9717060301330696]	Output: [-0.35484603560563754]

===TRAINING===

Epoch: 0	Error for Epoch: 0.19605754818804877
Epoch: 200	Error for Epoch: 0.10517968729593248
Epoch: 400	Error for Epoch: 0.0973355105248002
Epoch: 600	Error for Epoch: 0.09478211201765205
Epoch: 800	Error for Epoch: 0.09481011436530189
Epoch: 1000	Error for Epoch: 0.09515464375254194
Epoch: 1200	Error for Epoch: 0.09586151458000959
Epoch: 1400	Error for Epoch: 0.09677158115684162
Epoch: 1600	Error for Epoch: 0.09793687729397726
Epoch: 1800	Error for Epoch: 0.0991454465556954
Epoch: 2000	Error for Epoch: 0.10024309387468627
Epoch: 2200	Error for Epoch: 0.1008931822867891
Epoch: 2400	Error for Epoch: 0.10041863915510865
Epoch: 2600	Error for Epoch: 0.1046137477922911
Epoch: 2800	Error for Epoch: 0.11055125111977147
Epoch: 3000	Error for Epoch: 0.10336004044641856
Epoch: 3200	Error for Epoch: 0.09998962406820641
Epoch: 3400	Error for Epoch: 0.09942201494155778
Epoch: 3600	Error for Epoch: 0.10343573788216891
Epoch: 3800	Error for Epoch: 0.10226515984696104
Epoch: 4000	Error for Epoch: 0.10145603714915467
Epoch: 4200	Error for Epoch: 0.10017569259862856
Epoch: 4400	Error for Epoch: 0.10027289968388914
Epoch: 4600	Error for Epoch: 0.10112655877917386
Epoch: 4800	Error for Epoch: 0.10188349066834868
Epoch: 5000	Error for Epoch: 0.10249399595853526
Epoch: 5200	Error for Epoch: 0.10308411444337608
Epoch: 5400	Error for Epoch: 0.10372200248633093
Epoch: 5600	Error for Epoch: 0.1041586677808105
Epoch: 5800	Error for Epoch: 0.10428754323817223
Epoch: 6000	Error for Epoch: 0.10405941747350379
Epoch: 6200	Error for Epoch: 0.10374960379891636
Epoch: 6400	Error for Epoch: 0.1041019070647826
Epoch: 6600	Error for Epoch: 0.10411612834709519
Epoch: 6800	Error for Epoch: 0.10370300777267967
Epoch: 7000	Error for Epoch: 0.10318126496817076
Epoch: 7200	Error for Epoch: 0.10267384550016441
Epoch: 7400	Error for Epoch: 0.10220467238209935
Epoch: 7600	Error for Epoch: 0.10175575797582766
Epoch: 7800	Error for Epoch: 0.10136493507906788
Epoch: 8000	Error for Epoch: 0.10100856521386053
Epoch: 8200	Error for Epoch: 0.1006408448460315
Epoch: 8400	Error for Epoch: 0.100274007836707
Epoch: 8600	Error for Epoch: 0.09992430543820241
Epoch: 8800	Error for Epoch: 0.09965943135337443
Epoch: 9000	Error for Epoch: 0.09944918231167996
Epoch: 9200	Error for Epoch: 0.09926009091820653
Epoch: 9400	Error for Epoch: 0.09910904304052581
Epoch: 9600	Error for Epoch: 0.09898195418418204
Epoch: 9800	Error for Epoch: 0.09886716097867446

===TESTING ON SIN_INPUTS===

Target: [-0.9693991500910609]	Output: [-0.9150546649434593]
Difference: [0.05434449]

Target: [0.6215443545298209]	Output: [0.9145820101902289]
Difference: [0.29303766]

Target: [0.7581745082018556]	Output: [0.7579864013926887]
Difference: [0.00018811]

Target: [-0.8809519012296682]	Output: [-0.9084966837095129]
Difference: [0.02754478]

Target: [-0.5082943721153294]	Output: [-0.5130147347505337]
Difference: [0.00472036]

Target: [-0.5184507176458957]	Output: [-0.6012686619635879]
Difference: [0.08281794]

Target: [-0.046882145738180524]	Output: [0.9325184387917902]
Difference: [0.97940058]

Target: [0.907184383205242]	Output: [0.7374703835240004]
Difference: [0.169714]

Target: [0.9869991648555898]	Output: [0.8655635340064329]
Difference: [0.12143563]

Target: [-0.8453396536092582]	Output: [-0.8011224035315682]
Difference: [0.04421725]

Target: [-0.22131862801044538]	Output: [-0.31386053269141423]
Difference: [0.0925419]

Target: [-0.6720587720287978]	Output: [-0.6787880002798067]
Difference: [0.00672923]

Target: [0.48103130546958517]	Output: [0.5370152500525628]
Difference: [0.05598394]

Target: [-0.8764685694230585]	Output: [-0.9204784440923193]
Difference: [0.04400987]

Target: [-0.04775668909231234]	Output: [-0.11068834490371277]
Difference: [0.06293166]

Target: [0.983009164248469]	Output: [0.8607094745345932]
Difference: [0.12229969]

Target: [0.9815926213845271]	Output: [0.8630674490412404]
Difference: [0.11852517]

Target: [-0.7190042221179239]	Output: [-0.7489253436584741]
Difference: [0.02992112]

Target: [-0.9786507708241176]	Output: [-0.8417555581618186]
Difference: [0.13689521]

Target: [0.8715606967578812]	Output: [0.92667316543872]
Difference: [0.05511247]

Target: [-0.9791574295463661]	Output: [-0.9079235819322419]
Difference: [0.07123385]

