SIN with a Learning Rate of: 0.2 and Hidden Unit count of: 5

===PRE-TRAINING TESTING===
Multi Layered Perceptron Size: 4, 5, 1
Epochs: 10000
Learning Rate: 0.2

Target: [0.3168133636291277]	Output: [-0.9961675269468009]
Target: [0.9613505673707398]	Output: [0.8660714367078377]
Target: [0.023530667861506184]	Output: [0.31049125656344834]
Target: [0.67200596440143]	Output: [-0.9987659470622257]
Target: [-0.9988906406196663]	Output: [0.9691789489271964]
Target: [-0.6456348810323934]	Output: [0.9978243578080683]
Target: [-0.39630896298883106]	Output: [-0.9781630933578997]
Target: [-0.03406803538847597]	Output: [-0.9923729201057536]
Target: [-0.2831839937182292]	Output: [0.7689948167615163]
Target: [0.943599078711048]	Output: [-0.9964641668478761]
Target: [-0.09547624644345229]	Output: [0.08819230292964773]
Target: [0.09633424897535237]	Output: [0.9915857631155239]
Target: [0.7350712964675952]	Output: [0.604324978244358]
Target: [0.37431312783450266]	Output: [0.9119690255464483]
Target: [0.9547067685358425]	Output: [-0.9980974432687953]
Target: [0.2027813241217918]	Output: [0.7796420220777959]
Target: [0.9537925362059274]	Output: [-0.04500751527651914]
Target: [0.7683259250103991]	Output: [-0.3136936149227923]
Target: [-0.29484435628184125]	Output: [-0.9726621810013589]
Target: [0.9325699125543894]	Output: [-0.9927802098927787]
Target: [-0.11934254244231347]	Output: [-0.9676531859054307]
Target: [-0.5743003774459763]	Output: [-0.9798479982304381]
Target: [0.8138393014337651]	Output: [0.9413970194104596]
Target: [0.8869834158217443]	Output: [-0.2610162847643996]
Target: [-0.713927248432027]	Output: [0.9806726387796968]
Target: [-0.9868583426546604]	Output: [-0.8731526493485549]
Target: [0.8423334005301101]	Output: [-0.1616578273122168]
Target: [-0.14117576289940614]	Output: [-0.7675535166131524]
Target: [0.6905319884029351]	Output: [-0.9928104321863478]
Target: [0.9639422744970609]	Output: [-0.9977093637645843]
Target: [-0.9206868316973891]	Output: [0.971778589422195]
Target: [-0.05534316515502491]	Output: [-0.9692356469838334]
Target: [0.7458103951380801]	Output: [-0.9830536328191619]
Target: [-0.6493266976744781]	Output: [0.873350446770017]
Target: [-0.7143026655355367]	Output: [-0.4204190056075025]
Target: [0.8576262515220218]	Output: [0.20038886999450609]
Target: [-0.25598819239263854]	Output: [-0.991392300651827]
Target: [0.8919195721628951]	Output: [-0.9645244218011195]
Target: [0.6725079187793777]	Output: [0.8307455441458597]
Target: [-0.9691626025449493]	Output: [-0.8179233556782128]
Target: [0.22717410650693196]	Output: [-0.9971259496384323]
Target: [-0.8839840869670653]	Output: [0.9909372726628118]
Target: [-0.16357337234020386]	Output: [-0.9886874758372027]
Target: [0.810530045820616]	Output: [-0.9547128665322728]
Target: [-0.9819629444932696]	Output: [-0.7321704208633414]
Target: [0.09799323158444567]	Output: [-0.996824545493831]
Target: [-0.8936590071303907]	Output: [-0.9634145841417462]
Target: [0.9602225088947778]	Output: [-0.9937092574247801]
Target: [-0.7977991445897321]	Output: [0.9984617584512806]
Target: [0.4514981448822535]	Output: [-0.41070678138817013]
Target: [-0.7951228277971428]	Output: [0.997479322418414]
Target: [0.6273913143214658]	Output: [-0.9982949472968489]
Target: [0.059173326938762295]	Output: [-0.9545690380798085]
Target: [-0.9547710403450794]	Output: [0.9939480860225172]
Target: [-0.6723725331704764]	Output: [-0.9820041934108398]
Target: [0.8382789344110259]	Output: [-0.4994691340079389]
Target: [-0.9822522805284716]	Output: [0.7719012977044951]
Target: [0.5772703342051043]	Output: [-0.9927909614861955]
Target: [0.5503201157751239]	Output: [0.9826340918936206]
Target: [0.8587590491355606]	Output: [-0.9961378313061128]
Target: [-0.8286108785076877]	Output: [0.5135875087923416]
Target: [-0.6484770497315049]	Output: [0.9978475472745065]
Target: [-0.2895221168906433]	Output: [-0.9793514627671128]
Target: [-0.8398865857583827]	Output: [0.9432646905432647]
Target: [0.9996021864893437]	Output: [0.4444315970404453]
Target: [-0.6340709395003389]	Output: [0.9897757954508986]
Target: [0.9239992289028066]	Output: [-0.9526555944269989]
Target: [-0.8457530707531713]	Output: [0.9963688487272515]
Target: [0.9053623811441508]	Output: [-0.9939924677273951]
Target: [0.9504363387352288]	Output: [0.43253866755018494]
Target: [0.8739014042563915]	Output: [-0.8256635723060628]
Target: [-0.027712949666454934]	Output: [-0.9827300450981465]
Target: [-0.018704566373480624]	Output: [0.40851526056337456]
Target: [-0.6846529668321195]	Output: [-0.1851934175528733]
Target: [0.7016814033127785]	Output: [-0.29617800629571195]
Target: [-0.9042696102514546]	Output: [0.9970583605138118]
Target: [-0.07456331760253866]	Output: [-0.3992715512972818]
Target: [-0.8985593198185777]	Output: [-0.8202434268921784]
Target: [0.6321506288514327]	Output: [-0.9336224571991014]
Target: [-0.3173820029519593]	Output: [0.3840872136076236]
Target: [-0.5139672048592134]	Output: [0.8764261526772]
Target: [0.7091909875365314]	Output: [-0.9963839969141822]
Target: [0.15411320157724887]	Output: [-0.9947827555483456]
Target: [0.308647231212735]	Output: [-0.9900201145221169]
Target: [0.9859774772542228]	Output: [-0.6474943123422703]
Target: [-0.9876516476046903]	Output: [0.5615062086051631]
Target: [0.796458292794816]	Output: [-0.9949874304177988]
Target: [-0.5343618097767696]	Output: [0.9908833119346654]
Target: [0.7258905266729115]	Output: [-0.969355325407276]
Target: [-0.026720133604470463]	Output: [-0.9886965255790315]
Target: [0.9597163673977995]	Output: [-0.9963952117665205]
Target: [-0.016135862100014525]	Output: [-0.6683872607981336]
Target: [-0.14414177446606638]	Output: [0.9930371516502102]
Target: [-0.9454766256359436]	Output: [-0.933100687109125]
Target: [-0.22026236079209222]	Output: [0.8616783637503191]
Target: [0.9984737528270152]	Output: [0.0771733013779212]
Target: [0.06907641201949978]	Output: [0.5661149541103929]
Target: [0.18876315275643576]	Output: [-0.9790155860656279]
Target: [0.999997653667409]	Output: [0.2879803678274148]
Target: [-0.9583211715988069]	Output: [0.9943996799638961]
Target: [0.9999172308231316]	Output: [-0.9234115085308818]
Target: [0.9204096789157463]	Output: [-0.914372161316747]
Target: [0.16933559916992158]	Output: [0.9933062615683088]
Target: [0.9949094820093494]	Output: [-0.9578322546845486]
Target: [-0.8232106532495816]	Output: [-0.8987739604760696]
Target: [-0.9135350502850745]	Output: [0.22964301507789833]
Target: [-0.996155695368221]	Output: [0.3109904873670978]
Target: [-0.7870909534582635]	Output: [0.7859640563807196]
Target: [-0.30997438834404156]	Output: [0.9538228260593974]
Target: [-0.8704587526997256]	Output: [0.9959338771797518]
Target: [-0.3075373827113281]	Output: [-0.9314667082020395]
Target: [0.9605682819926122]	Output: [0.609024882661849]
Target: [-0.24488676479751914]	Output: [-0.6338106777923069]
Target: [-0.45350683535591624]	Output: [-0.9077952880815897]
Target: [-0.8327139703104998]	Output: [0.9984972075809134]
Target: [-0.45148094821454304]	Output: [0.9961324932684589]
Target: [-0.15232246758829404]	Output: [0.9956339019764991]
Target: [-0.3145926020998236]	Output: [-0.9932663642313774]
Target: [0.3565649691371569]	Output: [-0.989081404427147]
Target: [0.7765189447933628]	Output: [0.30984167394298867]
Target: [-0.604429179795267]	Output: [0.9646973753742697]
Target: [-0.3035883611090345]	Output: [-0.961493236858542]
Target: [0.871147221438396]	Output: [-0.9983366995430029]
Target: [-0.797551175793875]	Output: [0.9696351111793801]
Target: [0.110219562350755]	Output: [0.9795932337996863]
Target: [0.6501522981064503]	Output: [0.9880468785952905]
Target: [-0.12187646688601908]	Output: [-0.9929385903568652]
Target: [-0.4350181349936165]	Output: [-0.9729905966535146]
Target: [-0.5773021060520874]	Output: [-0.041549434288066005]
Target: [0.964968732863686]	Output: [-0.6968574936919981]
Target: [0.8968795685043388]	Output: [-0.9957048628783356]
Target: [-0.48753897688267167]	Output: [-0.9536634087837936]
Target: [-0.24333091626953884]	Output: [-0.9657025715988942]
Target: [0.2442860804454224]	Output: [0.9925753204583685]
Target: [0.807444937681485]	Output: [-0.781020755314812]
Target: [-0.014389070352246581]	Output: [0.9222667963390807]
Target: [-0.4196743949274083]	Output: [0.9913434967426806]
Target: [0.44782235146180355]	Output: [0.9840698730803846]
Target: [0.675529279580065]	Output: [0.8982318128579007]
Target: [-0.9890535902516683]	Output: [0.9027990691661086]
Target: [0.6052130173773381]	Output: [-0.8632455751698827]
Target: [0.5587834600415766]	Output: [-0.9943444429527282]
Target: [0.37150246322068775]	Output: [0.9747926097646694]
Target: [0.6740854479329312]	Output: [-0.6971653391350928]
Target: [0.9797763846637769]	Output: [-0.7999994714768085]
Target: [-0.18127307071075333]	Output: [-0.9936119415498021]
Target: [0.19658923081348187]	Output: [0.9756097978587079]
Target: [-0.5756679118608006]	Output: [0.6539181482627157]
Target: [-0.45619390303906493]	Output: [-0.7230287008334879]
Target: [-0.9580264028640147]	Output: [-0.42679874586064226]
Target: [-0.9275543400847163]	Output: [0.9893681552783592]
Target: [0.8632013801251529]	Output: [-0.4074579236069118]
Target: [0.2295962315405361]	Output: [-0.6676488682205084]
Target: [0.5356757209208062]	Output: [-0.9930730936236363]
Target: [0.21236607965254267]	Output: [0.868907146634016]
Target: [-0.051215946005895054]	Output: [-0.04134755072104507]
Target: [-0.5309385811112819]	Output: [0.9974815631908154]
Target: [0.7146860693798183]	Output: [-0.9865047337163654]
Target: [0.9997320901816453]	Output: [0.7447172971786228]
Target: [-0.9499933550139154]	Output: [-0.7713758666730802]
Target: [0.49820783525738116]	Output: [-0.7657472156848205]
Target: [-0.5809705199151638]	Output: [-0.564128636217464]
Target: [-0.9033696041807416]	Output: [0.9873502582321558]
Target: [-0.7904415388048989]	Output: [0.1732296785734922]
Target: [0.9376019399554208]	Output: [-0.9968535343777668]
Target: [0.402651665391193]	Output: [-0.820603728232227]
Target: [0.25523013034328346]	Output: [-0.9692261750835343]
Target: [0.7246551431128974]	Output: [-0.9979802409545849]
Target: [0.9202495786566205]	Output: [-0.9817606927257546]
Target: [-0.43601915388840234]	Output: [-0.9611560960433646]
Target: [-0.745755512855176]	Output: [0.7333836498498972]
Target: [0.9999781493111276]	Output: [-0.6685336505181544]
Target: [-0.5129372444403675]	Output: [0.6151301223037229]
Target: [0.9956694737160356]	Output: [-0.9979111944969923]
Target: [0.3670177666550964]	Output: [0.957687988068905]
Target: [-0.8747758633200756]	Output: [0.8602455518813145]
Target: [-0.2773671427876723]	Output: [0.9841690330492846]
Target: [0.9876171647997778]	Output: [-0.4249781417066678]
Target: [-0.8324490151706704]	Output: [0.967611366919346]
Target: [-0.5883240852103161]	Output: [0.9627811225946042]
Target: [0.8981482231770006]	Output: [-0.5937873671836958]
Target: [0.6828447526581753]	Output: [-0.9059596754027662]
Target: [-0.007229475702323759]	Output: [-0.9884339365794848]
Target: [-0.2788977260976707]	Output: [-0.9640770775465703]
Target: [-0.9532049855777293]	Output: [-0.9175819115085039]
Target: [-0.913475823674254]	Output: [0.5212380811826317]
Target: [0.9911555193375359]	Output: [-0.9372541719734296]
Target: [-0.9953086954211384]	Output: [-0.4963283086218091]
Target: [0.2826733325127515]	Output: [-0.02426658197897141]
Target: [0.1272302689983495]	Output: [-0.9912592909949526]
Target: [-0.5693430207254153]	Output: [-0.8206727251136035]
Target: [-0.25646542088457414]	Output: [-0.9843825800764594]
Target: [-0.7700466539742975]	Output: [0.938393993273101]
Target: [0.8635558465268932]	Output: [-0.9976508881203259]
Target: [0.37383844643355024]	Output: [-0.7540679066720353]
Target: [0.9997438982445314]	Output: [-0.9220750915437548]
Target: [0.7205732607094375]	Output: [0.9790253638147263]
Target: [0.30284588525107015]	Output: [0.972907187702603]
Target: [0.9997695022831475]	Output: [-0.5640497687912238]
Target: [0.3846078799324458]	Output: [-0.003174502183203668]
Target: [0.9354590621194491]	Output: [0.415516933748888]
Target: [0.24427328885431707]	Output: [-0.4403863634181437]
Target: [-0.9989578875256858]	Output: [0.9851501650439171]
Target: [-0.026787871398194326]	Output: [-0.9869131565195361]
Target: [0.7602194551376199]	Output: [-0.9934502638531363]
Target: [0.5817462205272687]	Output: [-0.5114058279628542]
Target: [-0.9667674698269021]	Output: [0.07127738006700948]
Target: [-0.25620846202414954]	Output: [-0.703044155364726]
Target: [-0.7426593291635857]	Output: [-0.947578183486456]
Target: [-0.980406893107548]	Output: [-0.6362620273967357]
Target: [-0.8952415791349224]	Output: [0.9966456051002529]
Target: [0.3982387620339716]	Output: [-0.9899356053347192]
Target: [-0.4141614921739682]	Output: [0.9507559692188498]
Target: [0.32242232823324524]	Output: [0.5560850768982615]
Target: [0.5466174337199282]	Output: [-0.9914835026467488]
Target: [0.8859767659617978]	Output: [0.8454187610193203]
Target: [-0.825042627541197]	Output: [0.9838585730274214]
Target: [0.7486423472260071]	Output: [0.875157693835398]
Target: [0.4561322491930319]	Output: [-0.8918948439557245]
Target: [-0.0991230811369244]	Output: [-0.9810232603422316]
Target: [-0.9984236625537406]	Output: [0.16077940916599115]
Target: [0.12697656996973303]	Output: [-0.6471585705252986]
Target: [0.9966262818306815]	Output: [-0.8845011357009043]
Target: [-0.9649178950148832]	Output: [0.9948402502028324]
Target: [-0.34822510154881287]	Output: [0.988897963070948]
Target: [-0.08554236293325443]	Output: [-0.9802858193558694]
Target: [-0.009832124921296466]	Output: [-0.7540969864989153]
Target: [0.5014201896466046]	Output: [0.9893282439276773]
Target: [0.9971985439168567]	Output: [-0.9981734381246551]
Target: [0.9714651929919983]	Output: [-0.2614422356323905]
Target: [-0.9443889593317465]	Output: [0.33597211193207166]
Target: [0.9711809164485601]	Output: [-0.9769259009336768]
Target: [0.6057553949313038]	Output: [0.9626475661712329]
Target: [-0.24965897268538703]	Output: [-0.9665632432479355]
Target: [0.14721672980304382]	Output: [0.9920565473450916]
Target: [0.991110295150347]	Output: [-0.4344474792299733]
Target: [0.9399200339920127]	Output: [0.8687024554219908]
Target: [0.35496622846594134]	Output: [-0.9645613643599273]
Target: [-0.6777916797950021]	Output: [-0.9321325465463598]
Target: [0.9677378008664638]	Output: [0.8519641227766054]
Target: [0.9957457588952718]	Output: [-0.9872685581113129]
Target: [0.6941449321287083]	Output: [0.2591109047865169]
Target: [-0.6908154521870509]	Output: [0.9916241053176585]
Target: [0.5728527223364149]	Output: [0.9779052380170999]
Target: [-0.29850708665877246]	Output: [-0.6731220911387247]
Target: [-0.8530010279934608]	Output: [-0.5009802182240547]
Target: [0.00022763869534699922]	Output: [-0.9366376443577903]
Target: [0.15782977231820122]	Output: [-0.9886663112082571]
Target: [-0.007242289237484902]	Output: [-0.9865526815705418]
Target: [-0.7352300516306011]	Output: [-0.6039764825452502]
Target: [0.5956875248243273]	Output: [0.21784593590309334]
Target: [-0.9865993512468128]	Output: [0.9915081701781884]
Target: [-0.9220331679875273]	Output: [0.923804980129483]
Target: [0.3670993029653004]	Output: [0.900723798385289]
Target: [-0.992127628397839]	Output: [-0.6511863339970317]
Target: [-0.9420419310606433]	Output: [0.9721316462257422]
Target: [-0.9941491015211165]	Output: [0.9146809004922853]
Target: [-0.9920283727290622]	Output: [0.9988490943155447]
Target: [0.4819833986853383]	Output: [-0.7892048312815185]
Target: [0.5515876990906605]	Output: [-0.8845374022561666]
Target: [0.8341351354100422]	Output: [-0.9869055665159763]
Target: [0.7085694369690324]	Output: [-0.9892014963604516]
Target: [0.6361021654981432]	Output: [-0.9981101787736875]
Target: [-0.8611754644579247]	Output: [0.9443160077886742]
Target: [0.577797943822889]	Output: [0.9844145664984243]
Target: [0.4494709779388821]	Output: [0.9921651085387865]
Target: [0.9999606279946676]	Output: [-0.32222866275004763]
Target: [0.07101175049229615]	Output: [-0.9930026279819313]
Target: [0.18958354358657584]	Output: [0.9656106841015654]
Target: [-0.8582497502287255]	Output: [0.3952559306035149]
Target: [-0.02982522695738413]	Output: [-0.9921232809519692]
Target: [-0.8383953102512504]	Output: [0.9944861647612236]
Target: [-0.03706934851928457]	Output: [-0.9243507529490488]
Target: [0.4348274115287745]	Output: [0.8067328563028187]
Target: [0.6332979357308592]	Output: [0.5861862655890888]
Target: [-0.9738969818281361]	Output: [0.634777487257366]
Target: [0.7200802351369385]	Output: [-0.9651350704861517]
Target: [0.8218982163052159]	Output: [-0.41063638317303136]
Target: [0.8454643526633048]	Output: [0.9660435032123045]
Target: [0.6567909012025853]	Output: [0.6548382973664876]
Target: [0.9721261291238315]	Output: [-0.9982022212072187]
Target: [0.6475239459941278]	Output: [0.977599597564294]
Target: [0.218563316687336]	Output: [-0.583696449361407]
Target: [-0.8925443219443242]	Output: [-0.4932305428218497]
Target: [-0.997937751080618]	Output: [0.7556180256864699]
Target: [0.999704847123528]	Output: [-0.9985229469009367]
Target: [0.9580308025086642]	Output: [-0.9973390714974939]
Target: [-0.5166023596058423]	Output: [0.9926114053570023]
Target: [0.7552654771415973]	Output: [-0.9979658183440565]
Target: [0.037852167054275354]	Output: [-0.9965104299893759]
Target: [-0.33282583655302456]	Output: [0.9936452723182536]
Target: [0.25681609488730306]	Output: [-0.8967795595852464]
Target: [0.76589169180065]	Output: [-0.8213318153726685]
Target: [0.9957418674797898]	Output: [-0.23743270650667914]
Target: [0.6299149252484736]	Output: [-0.9665080222701244]
Target: [0.9819088165336932]	Output: [0.5580998716103064]
Target: [0.07610854591367468]	Output: [0.9028345767982543]
Target: [0.8666992323405966]	Output: [-0.9937032552133278]
Target: [-0.995944104669994]	Output: [-0.5294795702970099]
Target: [0.5177974568570463]	Output: [-0.9851443898957064]
Target: [0.9087293185101366]	Output: [-0.9646145805108614]
Target: [-0.1616667850407722]	Output: [0.43603585022599983]
Target: [0.724870334459079]	Output: [-0.07629457962855976]
Target: [-0.009079377154823725]	Output: [0.9917241357034252]
Target: [-0.7150154876778401]	Output: [0.9914489939814696]
Target: [0.6115815431179166]	Output: [0.9853717528359446]
Target: [-0.1803991248626217]	Output: [0.1031468221277152]
Target: [0.8051671267289449]	Output: [0.35608045020418067]
Target: [0.11503812113540049]	Output: [-0.9960174197433037]
Target: [0.8590230063449709]	Output: [0.8908441487920503]
Target: [0.03661909012164653]	Output: [-0.20544906747745173]
Target: [-0.5970237635998127]	Output: [-0.7772396711291214]
Target: [0.9088463384918494]	Output: [0.4319913651534073]
Target: [-0.9812299941855573]	Output: [0.976089488705107]
Target: [-0.5634846062428527]	Output: [0.4147820835097253]
Target: [0.0587199312249617]	Output: [-0.6392768927562286]
Target: [0.19508516060057066]	Output: [-0.9651208543554763]
Target: [0.36494829035673193]	Output: [-0.041513444433792325]
Target: [0.9823249928667054]	Output: [-0.9974418084435858]
Target: [0.939056632410466]	Output: [-0.31437199581620284]
Target: [-0.972798496130456]	Output: [0.9944378081113667]
Target: [-0.4316615770187873]	Output: [0.9869733259271322]
Target: [-0.8703658098777851]	Output: [0.4444655027697471]
Target: [0.9429352321072456]	Output: [-0.9871922414428308]

===TRAINING===

Epoch: 0	Error for Epoch: 0.17634940712457087
Epoch: 200	Error for Epoch: 0.10081892222917094
Epoch: 400	Error for Epoch: 0.1016745505158371
Epoch: 600	Error for Epoch: 0.0981148054678603
Epoch: 800	Error for Epoch: 0.09913360016221585
Epoch: 1000	Error for Epoch: 0.09619524348209406
Epoch: 1200	Error for Epoch: 0.10135740858804375
Epoch: 1400	Error for Epoch: 0.09669859427222559
Epoch: 1600	Error for Epoch: 0.09948463566477189
Epoch: 1800	Error for Epoch: 0.10144081491771206
Epoch: 2000	Error for Epoch: 0.098929372072902
Epoch: 2200	Error for Epoch: 0.09694316714387981
Epoch: 2400	Error for Epoch: 0.0957432033695933
Epoch: 2600	Error for Epoch: 0.10166429797545716
Epoch: 2800	Error for Epoch: 0.0972462382559618
Epoch: 3000	Error for Epoch: 0.09985041342214963
Epoch: 3200	Error for Epoch: 0.10050445039833303
Epoch: 3400	Error for Epoch: 0.10011565007363381
Epoch: 3600	Error for Epoch: 0.09603539354648102
Epoch: 3800	Error for Epoch: 0.09647256057022328
Epoch: 4000	Error for Epoch: 0.10188066491418495
Epoch: 4200	Error for Epoch: 0.09772194352277705
Epoch: 4400	Error for Epoch: 0.09966796597652888
Epoch: 4600	Error for Epoch: 0.09847498506250565
Epoch: 4800	Error for Epoch: 0.10095437674616231
Epoch: 5000	Error for Epoch: 0.09615066381955
Epoch: 5200	Error for Epoch: 0.09811250297976105
Epoch: 5400	Error for Epoch: 0.10182462258707467
Epoch: 5600	Error for Epoch: 0.09834976225690077
Epoch: 5800	Error for Epoch: 0.09882145954833796
Epoch: 6000	Error for Epoch: 0.09583903573865266
Epoch: 6200	Error for Epoch: 0.10137384610219065
Epoch: 6400	Error for Epoch: 0.09670603882999068
Epoch: 6600	Error for Epoch: 0.09947403168877492
Epoch: 6800	Error for Epoch: 0.10146165738099079
Epoch: 7000	Error for Epoch: 0.09888230286810301
Epoch: 7200	Error for Epoch: 0.09701886221438383
Epoch: 7400	Error for Epoch: 0.09572490076021761
Epoch: 7600	Error for Epoch: 0.10165335403527873
Epoch: 7800	Error for Epoch: 0.09723136542529982
Epoch: 8000	Error for Epoch: 0.09985077516414279
Epoch: 8200	Error for Epoch: 0.10054566216660717
Epoch: 8400	Error for Epoch: 0.10006712099638264
Epoch: 8600	Error for Epoch: 0.09603813518296472
Epoch: 8800	Error for Epoch: 0.09642037094981504
Epoch: 9000	Error for Epoch: 0.10187838086185348
Epoch: 9200	Error for Epoch: 0.09767675779428647
Epoch: 9400	Error for Epoch: 0.09968679764246792
Epoch: 9600	Error for Epoch: 0.09862259358900768
Epoch: 9800	Error for Epoch: 0.10092773429863021

===TESTING ON SIN_INPUTS===

Target: [0.3168133636291277]	Output: [0.5084208297385894]
Difference: [0.19160747]

Target: [0.9280387433091354]	Output: [0.7311306882276765]
Difference: [0.19690806]

Target: [0.42900437312191425]	Output: [0.5743280030807087]
Difference: [0.14532363]

Target: [0.7051302015772318]	Output: [0.5014987701785983]
Difference: [0.20363143]

Target: [0.8890771883786682]	Output: [0.6583564165794263]
Difference: [0.23072077]

Target: [-0.16786274014851996]	Output: [-0.12282476537090177]
Difference: [0.04503797]

Target: [-0.7514755368153289]	Output: [-0.7864077866058242]
Difference: [0.03493225]

Target: [-0.04621446552799262]	Output: [0.07111761437408107]
Difference: [0.11733208]

Target: [0.7458181545490362]	Output: [0.7585426154029122]
Difference: [0.01272446]

Target: [0.6189894211402768]	Output: [0.5850486720503005]
Difference: [0.03394075]

Target: [-0.21767177664011178]	Output: [-0.1244982137339211]
Difference: [0.09317356]

Target: [0.7996065291429427]	Output: [0.8194939014590098]
Difference: [0.01988737]

Target: [-0.961982148044829]	Output: [-0.77493002029335]
Difference: [0.18705213]

Target: [0.16270642782978859]	Output: [0.09280778182555252]
Difference: [0.06989865]

Target: [0.3312764807829651]	Output: [0.4620466987800362]
Difference: [0.13077022]

Target: [0.8368655422145449]	Output: [0.8173723682743228]
Difference: [0.01949317]

Target: [0.44314886115471724]	Output: [0.37845795942002586]
Difference: [0.0646909]

Target: [0.9993493861255509]	Output: [0.9479095634776793]
Difference: [0.05143982]

Target: [-0.7559075003450864]	Output: [-0.5567596176535753]
Difference: [0.19914788]

Target: [-0.9859604426887862]	Output: [-0.7814993526887449]
Difference: [0.20446109]

Target: [0.7876155575050794]	Output: [0.7441708098912281]
Difference: [0.04344475]

