SIN with a Learning Rate of: 0.01 and Hidden Unit count of: 6

===PRE-TRAINING TESTING===
Multi Layered Perceptron Size: 4, 6, 1
Epochs: 10000
Learning Rate: 0.01

Target: [-0.9962742389390477]	Output: [0.664111857116728]
Target: [0.9806744192205474]	Output: [-0.9229479794156713]
Target: [-0.6927426375373507]	Output: [0.9784194827304795]
Target: [-0.0074979595686592284]	Output: [0.26720499894790667]
Target: [-0.8266065793429225]	Output: [-0.40097972910792307]
Target: [-0.8994335806837483]	Output: [0.8882284953322228]
Target: [-0.9919277705867046]	Output: [0.642225615859211]
Target: [0.5169172495766203]	Output: [-0.3126636578863176]
Target: [-0.9596869148435597]	Output: [0.551758368346425]
Target: [-0.8929938297077092]	Output: [0.9568283589385297]
Target: [0.5416099504935553]	Output: [0.653119761156326]
Target: [-0.4578046886652611]	Output: [0.964335661774716]
Target: [-0.3166195444111617]	Output: [0.9180147691931704]
Target: [-0.9471708246192234]	Output: [-0.11628989177118862]
Target: [-0.11694841525874099]	Output: [-0.8387431373995975]
Target: [-0.7614983787175095]	Output: [-0.21044680874611532]
Target: [-0.9347050706398212]	Output: [0.856464829741458]
Target: [0.435830184182582]	Output: [0.966925262800841]
Target: [-0.5407893981043207]	Output: [-0.02579908803219924]
Target: [-0.7350021527393746]	Output: [0.249239246776188]
Target: [0.9949223869489018]	Output: [0.09648528085264853]
Target: [-0.9373241487353399]	Output: [0.9900103074470817]
Target: [0.5376614306150873]	Output: [-0.7209335103346892]
Target: [0.24407878516427203]	Output: [-0.9517229284765427]
Target: [-0.7140274972705296]	Output: [-0.9164958326350205]
Target: [0.7480514906720755]	Output: [-0.8850192912700078]
Target: [0.7766646791968076]	Output: [-0.41095908628939903]
Target: [-0.5976344242572665]	Output: [-0.33834029276886135]
Target: [-0.8097522729545356]	Output: [0.5031737450278783]
Target: [-0.8533384688807297]	Output: [0.7456520511756216]
Target: [-0.8641006000766244]	Output: [0.7957885052926807]
Target: [-0.4821744197884265]	Output: [0.16943071635983023]
Target: [-0.5669466996065996]	Output: [-0.3892808688659093]
Target: [-0.7986860276781286]	Output: [-0.2956385910367245]
Target: [0.9935705777242715]	Output: [-0.8987039392474595]
Target: [-0.3794775255606435]	Output: [0.12043841450132976]
Target: [0.5426557575767164]	Output: [-0.40318091976095605]
Target: [-0.8434248363646382]	Output: [0.7449512031348876]
Target: [0.4926114511818249]	Output: [-0.7473075450602092]
Target: [0.9276885804457619]	Output: [-0.9067649446142869]
Target: [-0.9961969975634777]	Output: [0.8417325780567743]
Target: [-0.08111451432158213]	Output: [-0.2763893952254332]
Target: [-0.9468486056662667]	Output: [0.9108065921184922]
Target: [-0.27922302791487874]	Output: [-0.06999387989173392]
Target: [0.3800219481834109]	Output: [-0.7083199860962816]
Target: [0.3457716866006072]	Output: [0.42738867097941613]
Target: [-0.6102589238784022]	Output: [0.817485745698422]
Target: [-0.9334923326975043]	Output: [0.5538018582044205]
Target: [-0.3008353653891015]	Output: [0.8014508351874475]
Target: [-0.6816176582115256]	Output: [0.24687219686482706]
Target: [-0.7461173550543343]	Output: [0.9827899768319137]
Target: [0.19679021673519895]	Output: [0.9609224566906468]
Target: [-0.9394842699814316]	Output: [0.3691400670742127]
Target: [0.9850961275707166]	Output: [-0.8666636223004706]
Target: [-0.8832216010694277]	Output: [0.8806626783444099]
Target: [0.9840922237286626]	Output: [0.8312774795612904]
Target: [-0.12228477943033288]	Output: [-0.9495972170528766]
Target: [-0.31539189037820714]	Output: [0.842725427586298]
Target: [-0.8603528254927427]	Output: [0.9716508681727216]
Target: [-0.5423252108232112]	Output: [-0.8802338762099248]
Target: [0.9684574297781149]	Output: [-0.4445143278628729]
Target: [-0.9560754641651708]	Output: [0.7583936194774245]
Target: [-0.9967492741689845]	Output: [-0.482063824458645]
Target: [0.3764734360509657]	Output: [-0.4853416040856883]
Target: [0.5061668104176145]	Output: [0.8321371287550128]
Target: [-0.9547065443702343]	Output: [0.49255324601430844]
Target: [0.2741886583459019]	Output: [-0.9067348092301926]
Target: [-0.5103924307930342]	Output: [-0.692325792603695]
Target: [-0.7059503410118634]	Output: [0.8332810395001721]
Target: [0.17812119265790285]	Output: [0.6298525081905648]
Target: [-0.9200225372207456]	Output: [0.9841571360909267]
Target: [0.9683496524558046]	Output: [-0.9682325784705557]
Target: [-0.9521904985910824]	Output: [-0.45647334291108993]
Target: [0.3676374069827779]	Output: [0.9578444878886649]
Target: [0.6864942335197539]	Output: [-0.9480454597662128]
Target: [0.3740544582720533]	Output: [0.6445741845020007]
Target: [0.010968214925329197]	Output: [0.3621157163536571]
Target: [-0.4519937171182981]	Output: [-0.9390902866041908]
Target: [-0.3014691796146429]	Output: [-0.7468258277253425]
Target: [0.9551126818547548]	Output: [-0.8084141757078406]
Target: [-0.718143820827768]	Output: [-0.9012460079608344]
Target: [-0.9990800957401704]	Output: [-0.4041473826974266]
Target: [-0.9407888156882801]	Output: [-0.8162807446482572]
Target: [-0.5714583635127912]	Output: [-0.6947669828843143]
Target: [-0.45210216365553746]	Output: [0.8259391499127995]
Target: [-0.24455291542798763]	Output: [-0.8661442344990852]
Target: [-0.5273776506892618]	Output: [0.9628175391109344]
Target: [-0.52265980540052]	Output: [-0.1225425549759088]
Target: [-0.7667926930849627]	Output: [-0.7506799754409023]
Target: [-0.49237854860520275]	Output: [0.8355835922505436]
Target: [0.867835600412366]	Output: [0.7226714834764576]
Target: [-0.48786483172450634]	Output: [0.3318869738410516]
Target: [-0.05209148838416725]	Output: [0.9425168316316044]
Target: [-0.9260153643164031]	Output: [-0.0289748622034543]
Target: [0.032434764807311445]	Output: [-0.8904742252535734]
Target: [-0.6828265671152062]	Output: [0.964145600032767]
Target: [-0.9280838101449852]	Output: [0.8472094840218747]
Target: [-0.31697572264373386]	Output: [0.7825894076853986]
Target: [-0.8632415288622443]	Output: [0.8982024850468914]
Target: [-0.8569390754386527]	Output: [0.9682381173455452]
Target: [-0.9979546685128251]	Output: [0.9609883920758384]
Target: [-0.5880048587711562]	Output: [-0.904252329717759]
Target: [0.17789892505546198]	Output: [0.4635719686556881]
Target: [0.591655972109599]	Output: [0.9065062429762341]
Target: [0.6753074802909956]	Output: [-0.6567228924145684]
Target: [-0.05694953899487998]	Output: [-0.9124569521275326]
Target: [-0.6240511162167264]	Output: [0.9662687256599942]
Target: [0.4585967986623667]	Output: [-0.8473807412087883]
Target: [-0.6705658771359921]	Output: [0.3873328077495222]
Target: [0.38994108064699295]	Output: [-0.9591815469015412]
Target: [-0.5171685028787196]	Output: [0.07500292271896149]
Target: [0.8492848599291978]	Output: [-0.39871546855728046]
Target: [0.9699725360341119]	Output: [-0.9030791632225067]
Target: [-0.24247907076561923]	Output: [0.970605025506851]
Target: [-0.9454652083964414]	Output: [0.06033170500619142]
Target: [-0.9353982069320829]	Output: [0.8442129282307222]
Target: [-0.07240802237539927]	Output: [0.9544658887885231]
Target: [-0.1776880766018404]	Output: [0.9067755627171197]
Target: [0.6624815020231051]	Output: [-0.4448805285978169]
Target: [-0.3326721984401908]	Output: [-0.943555451707156]
Target: [0.33776471878130615]	Output: [-0.4701556041686775]
Target: [0.8961229497463326]	Output: [-0.8136055416377161]
Target: [0.932813190781863]	Output: [-0.6453579028742048]
Target: [0.2557692319786715]	Output: [-0.9531506328985433]
Target: [0.3797942247127122]	Output: [0.9466081424836812]
Target: [-0.3240962445425577]	Output: [-0.9696965867113436]
Target: [-0.27382776579490087]	Output: [-0.35562583842701456]
Target: [-0.7902668784896889]	Output: [0.9422800099981054]
Target: [-0.961466351316671]	Output: [-0.8191581565228415]
Target: [0.7017496105245388]	Output: [-0.9521526243194205]
Target: [0.13990041084334243]	Output: [-0.7681335421958634]
Target: [0.9912316813398296]	Output: [0.7551720682320736]
Target: [0.8294249732917411]	Output: [0.7125372173635688]
Target: [0.3533081621570771]	Output: [-0.8537414938720048]
Target: [-0.10446445982267306]	Output: [0.7363598398710096]
Target: [-0.7901533404812384]	Output: [0.36899958504216024]
Target: [0.9031613130593963]	Output: [-0.6270304589129935]
Target: [0.3315950129178292]	Output: [0.8781979921116382]
Target: [-0.2306620503068373]	Output: [0.4821652863311726]
Target: [-0.9861149146984084]	Output: [0.9820446784947038]
Target: [-0.9993610464285659]	Output: [0.9855832149484839]
Target: [-0.949396170448923]	Output: [0.19200761136321748]
Target: [0.40668131469175883]	Output: [-0.8933578895926848]
Target: [0.9775720883692435]	Output: [0.11238372946504277]
Target: [-0.3882237263139381]	Output: [-0.9010292403400109]
Target: [0.8926486197745996]	Output: [-0.9821795706341736]
Target: [0.5494913059555586]	Output: [0.012910814825731465]
Target: [0.9728016070545403]	Output: [-0.9844221482456204]
Target: [0.35786421393922313]	Output: [-0.9770374591920307]
Target: [-0.6383358850663392]	Output: [-0.7424569710169368]
Target: [0.4220073122241835]	Output: [-0.3854058955380165]
Target: [-0.5479377426926453]	Output: [0.7704154824173055]
Target: [-0.8357392957757819]	Output: [0.4820176456738347]
Target: [0.4524487473266001]	Output: [-0.8142582511282873]
Target: [-0.7260153175889522]	Output: [0.9811360157311882]
Target: [-0.22064727155748184]	Output: [-0.8602294662999423]
Target: [0.34024278780157396]	Output: [-0.9766981967521858]
Target: [0.9725566534966001]	Output: [-0.9876392494006592]
Target: [-0.9572353497094076]	Output: [0.9753360617484694]
Target: [0.997075048417151]	Output: [-0.4331060840133278]
Target: [-0.7272782045147547]	Output: [0.9847564276485405]
Target: [0.1525706623399007]	Output: [0.7426272706283717]
Target: [0.5860940887451339]	Output: [-0.057021572391444154]
Target: [-0.6764128142561431]	Output: [-0.8316070917762207]
Target: [-0.96464004475784]	Output: [0.3550733997761928]
Target: [0.25062880723774644]	Output: [-0.25671952632113426]
Target: [0.8423818832714376]	Output: [-0.9445456018342162]
Target: [0.3028810833289288]	Output: [-0.8402719989191353]
Target: [-0.9924629737299328]	Output: [0.694577190131053]
Target: [0.13160707116820292]	Output: [-0.8923763425170737]
Target: [0.9266146058731299]	Output: [-0.9730931095894023]
Target: [0.9960735508081078]	Output: [-0.3537217066305237]
Target: [-0.6005240468538727]	Output: [-0.7327445085167094]
Target: [-0.09299971805937916]	Output: [0.9560296498499817]
Target: [-0.44992938877796834]	Output: [0.7171278359356122]
Target: [0.84682377450315]	Output: [-0.7943467033844788]
Target: [-0.8791518002565563]	Output: [-0.6260741292866474]
Target: [-0.635278485570406]	Output: [0.4454600320265998]
Target: [-0.7130827499479455]	Output: [0.25931943276613323]
Target: [-0.19748278117824414]	Output: [-0.9032643015122848]
Target: [-0.7074190660093999]	Output: [-0.8111702004106552]
Target: [-0.6687772575052542]	Output: [0.9751525416772924]
Target: [-0.9994733401447647]	Output: [-0.8180853700432373]
Target: [-0.7982316892776343]	Output: [0.22060227402309787]
Target: [0.998315523343245]	Output: [-0.9463159412395741]
Target: [-0.23128271593698427]	Output: [-0.5944359918181289]
Target: [0.4699861043714325]	Output: [-0.9691493521827291]
Target: [-0.40269594450189494]	Output: [-0.6674234962634098]
Target: [-0.9122420372541177]	Output: [-0.7438995498371743]
Target: [-0.9746312370450517]	Output: [0.6661211258550336]
Target: [-0.9881561002548371]	Output: [-0.7629921715055589]
Target: [0.4019551409599863]	Output: [0.5415469916052617]
Target: [0.13178762573941732]	Output: [-0.8213683141348357]
Target: [0.13203162646436276]	Output: [0.9337833266300597]
Target: [0.016712998301232126]	Output: [-0.7949497180668157]
Target: [-0.8390613475681487]	Output: [0.9739429247950887]
Target: [-0.9509519920915654]	Output: [0.9732286602854281]
Target: [0.9970636153738444]	Output: [-0.5192050037248757]
Target: [0.8581862592305127]	Output: [-0.9878465878075279]
Target: [-0.9460984470197326]	Output: [0.3809930731548085]
Target: [-0.9202451230394904]	Output: [0.9370437070765523]
Target: [-0.8397580746635865]	Output: [0.9877500479305068]
Target: [-0.5875159542530592]	Output: [-0.4470107808307224]
Target: [0.31527955108875966]	Output: [-0.4929888629377368]
Target: [0.6588387797133367]	Output: [0.601016296653997]
Target: [0.9524964524940306]	Output: [0.5729179432518728]
Target: [0.9054597705580449]	Output: [-0.3913864454065796]
Target: [-0.6625636045452167]	Output: [0.7714724856912345]
Target: [-0.911800407049843]	Output: [-0.015499444217447426]
Target: [0.22592633241441523]	Output: [-0.861997610804953]
Target: [0.42858886104382027]	Output: [0.9462999741276301]
Target: [0.32371349474286787]	Output: [0.15110732140036237]
Target: [0.7279548350772131]	Output: [-0.7928696662697976]
Target: [-0.05837540918090479]	Output: [-0.9135263087179895]
Target: [0.9707411706444014]	Output: [-0.7849115847125729]
Target: [-0.46414301996192664]	Output: [0.9217739124523808]
Target: [0.7295523955167453]	Output: [-0.966247954789393]
Target: [0.5406719452742782]	Output: [-0.9255555674658724]
Target: [-0.08737457591235312]	Output: [-0.8378999124634229]
Target: [-0.9917752386913452]	Output: [0.6160787926867152]
Target: [-0.9980378495474241]	Output: [-0.1801554030112805]
Target: [0.9365980852806245]	Output: [-0.9792121547606948]
Target: [0.9841779251845878]	Output: [0.06395568858335467]
Target: [-0.5935833356726722]	Output: [-0.8629000125190056]
Target: [0.9434076366755457]	Output: [-0.03702793359025928]
Target: [0.4606899336361582]	Output: [-0.890231222971475]
Target: [-0.13845695354719492]	Output: [-0.9068701251130378]
Target: [-0.751961254068838]	Output: [-0.7890817628465343]
Target: [-0.5180814237812104]	Output: [-0.8626212459019947]
Target: [0.5548617210537008]	Output: [0.643985375219987]
Target: [-0.9999375749591265]	Output: [0.6218123504186068]
Target: [0.9269343187462985]	Output: [0.7814662267745561]
Target: [-0.1825497406512268]	Output: [-0.4573641459664896]
Target: [-0.39036443683725686]	Output: [0.9756977761765856]
Target: [0.9885948020657046]	Output: [-0.13006367771655233]
Target: [0.9096812470981749]	Output: [-0.9892385431377968]
Target: [-0.9201452431814352]	Output: [0.617761221592819]
Target: [0.49631120498887266]	Output: [-0.8645881592840453]
Target: [-0.6918677145282278]	Output: [-0.6457043244344364]
Target: [-0.7532670095932728]	Output: [0.7619990492337156]
Target: [0.7052354014159343]	Output: [-0.7987252335703915]
Target: [0.09744839342387213]	Output: [0.9567260170984286]
Target: [-0.7396510303585323]	Output: [-0.912356058028222]
Target: [0.9173301549831725]	Output: [0.2567405665854547]
Target: [0.2666843226334981]	Output: [-0.7845229158226085]
Target: [-0.441589857252428]	Output: [0.7378986317468691]
Target: [-0.9602812690595126]	Output: [0.8704557552989389]
Target: [0.25517008757989795]	Output: [-0.7904303884603091]
Target: [-0.9998184514704342]	Output: [-0.4143975917329929]
Target: [-0.9625289102130018]	Output: [0.9045047884812984]
Target: [0.8581763332127297]	Output: [0.8269504337513831]
Target: [0.7520067067646868]	Output: [0.9048720038825552]
Target: [0.2876151865818289]	Output: [-0.9421230198142195]
Target: [-0.845212749269414]	Output: [-0.7906609221515336]
Target: [0.7060199338601191]	Output: [-0.012004211597235158]
Target: [-0.9882225898940791]	Output: [0.9546580035608471]
Target: [0.7612917065412435]	Output: [-0.2850618195004774]
Target: [0.780308459079518]	Output: [0.46717291485295315]
Target: [0.7777071355846853]	Output: [0.7476693962045182]
Target: [0.7187608429108518]	Output: [0.8971244241009719]
Target: [-0.6371173193203558]	Output: [-0.8295405246014983]
Target: [-0.966043040814733]	Output: [0.13037963738086114]
Target: [-0.22932666301413393]	Output: [0.6771121415545657]
Target: [-0.19832108440729207]	Output: [-0.7927435281562282]
Target: [0.7501539354340749]	Output: [0.6403424805655943]
Target: [-0.9463929003783258]	Output: [0.5470837024722385]
Target: [-0.9158709608923659]	Output: [0.6336184018896037]
Target: [0.6229263173533092]	Output: [0.9278429603288476]
Target: [-0.8231241771353545]	Output: [0.6777523680963491]
Target: [-0.9988420508522625]	Output: [0.6758304381167375]
Target: [0.6237396990937062]	Output: [-0.2775392813441094]
Target: [0.44303129631891053]	Output: [0.8407708945960257]
Target: [-0.5538508991937576]	Output: [0.9520228219963193]
Target: [-0.7847087422405358]	Output: [0.9177780295353928]
Target: [0.1478610221812988]	Output: [-0.49518562446055786]
Target: [-0.9831620085577327]	Output: [0.9884893096751944]
Target: [0.44614732899257237]	Output: [-0.9603356175803558]
Target: [0.26825031883946937]	Output: [-0.9375653617893197]
Target: [-0.5076982942050744]	Output: [0.4171187677632374]
Target: [-0.8149528407116207]	Output: [0.7522201702263969]
Target: [0.2450835341711571]	Output: [0.8700949795250609]
Target: [-0.32875712308667554]	Output: [0.7363745923893674]
Target: [-0.5025392547646956]	Output: [0.7294607302367272]
Target: [-0.7139850261868532]	Output: [0.9678465289768741]
Target: [0.6842171606163812]	Output: [-0.9824336550547592]
Target: [-0.4794909516107869]	Output: [0.9741364244253435]
Target: [0.9974586418797593]	Output: [-0.5106924386021484]
Target: [-0.47017486837402356]	Output: [-0.8748770587906005]
Target: [-0.9699539897866046]	Output: [0.5466059362048975]
Target: [0.66816654171892]	Output: [0.6762501296983484]
Target: [-0.2441453458478923]	Output: [0.9481595090337305]
Target: [0.241819904701527]	Output: [0.10410086037412164]
Target: [-0.24305643420055698]	Output: [0.9692016232022204]
Target: [0.9984895148225785]	Output: [0.12325440002060942]
Target: [0.6245690874052652]	Output: [-0.8335487526572177]
Target: [-0.1002396892703035]	Output: [0.6055697531142136]
Target: [-0.9017851240658081]	Output: [0.944838674419141]
Target: [0.4561710448432778]	Output: [-0.9894676310337027]
Target: [-0.9926709479772059]	Output: [0.4316917130513263]
Target: [-0.9623535554786714]	Output: [0.5232474355121791]
Target: [0.3671006964775524]	Output: [-0.035730967156621135]
Target: [-0.16538143467560512]	Output: [0.9406218292929766]
Target: [-0.9727410505478081]	Output: [0.9204307808711987]
Target: [0.7591345464838986]	Output: [0.207286980549799]
Target: [0.8048701562239114]	Output: [0.5156473480424292]
Target: [-0.043380389559515516]	Output: [0.8327122264451893]
Target: [-0.5522634857209883]	Output: [-0.9102937633859076]
Target: [-0.936118894415472]	Output: [0.9490016794365075]
Target: [0.4984866115061008]	Output: [0.492054224231906]
Target: [-0.996381098740761]	Output: [0.209102994937876]
Target: [0.6333990287358656]	Output: [0.7631841172486484]
Target: [-0.6988130391400571]	Output: [-0.8518346178623802]
Target: [0.01865488693161553]	Output: [-0.9271386555977055]
Target: [0.9734303762481125]	Output: [-0.0017692040391128832]
Target: [0.5427051420040157]	Output: [-0.9705199707063351]
Target: [0.9118992696987597]	Output: [-0.13085833470796107]
Target: [0.011083312312923217]	Output: [0.89466222799652]
Target: [-0.6515841252355036]	Output: [0.6354857678410185]
Target: [0.6496131288865862]	Output: [0.7298476163194962]
Target: [0.21504307600335812]	Output: [-0.9537743759238625]
Target: [0.8807971002521483]	Output: [-0.1276636172830375]
Target: [-0.9814052168268014]	Output: [0.5062868318271267]
Target: [-0.9296731421221216]	Output: [-0.8789704527975524]
Target: [0.9991266642980211]	Output: [-0.8570412751499735]
Target: [0.011494907737832514]	Output: [-0.9674542118763173]
Target: [-0.8034313562824379]	Output: [-0.3056545342715566]
Target: [-0.20724255765796457]	Output: [0.8309541298827889]
Target: [0.3486839564044244]	Output: [-0.9637714429476145]
Target: [0.9963951349548519]	Output: [-0.9849709640234967]
Target: [-0.9659102164834789]	Output: [0.4332797725895561]
Target: [0.3428036465499808]	Output: [-0.9182654601436613]
Target: [0.96874246587712]	Output: [0.23095838401580607]
Target: [0.06623538227877573]	Output: [0.09744730246346699]
Target: [0.9824902578445309]	Output: [-0.24458178205138223]
Target: [-0.9203980115357291]	Output: [0.5395267979037903]
Target: [0.990841830095521]	Output: [-0.14284533374163313]
Target: [0.45016965450236607]	Output: [0.6007707028059852]
Target: [-0.6693148947538665]	Output: [0.6807606126973734]
Target: [-0.9355912955287785]	Output: [-0.49454694465704163]
Target: [0.18548507545131668]	Output: [-0.5276212187377513]
Target: [-0.9967052033617775]	Output: [0.6898511802483136]
Target: [0.36236358744447084]	Output: [-0.9666246743210545]
Target: [0.8768732466144241]	Output: [-0.5764324151276669]
Target: [-0.015250450706510321]	Output: [0.6964202526515865]
Target: [0.5912764858499167]	Output: [-0.7107304138599934]
Target: [-0.36691861369285034]	Output: [-0.6891864551281145]
Target: [0.35379060704841697]	Output: [-0.9701518306124958]
Target: [-0.9574934069892572]	Output: [-0.2990414682977789]
Target: [0.6986445005015203]	Output: [-0.35280168804486617]
Target: [-0.9280689365109953]	Output: [0.9717858839877627]
Target: [-0.5760790790794587]	Output: [0.8480381089544404]
Target: [-0.8845022055671242]	Output: [0.9106206980149044]
Target: [0.2668474840454844]	Output: [-0.9392193348001542]
Target: [-0.11047390002757719]	Output: [-0.7983879617242963]

===TRAINING===

Epoch: 0	Error for Epoch: 0.5462848172395625
Epoch: 200	Error for Epoch: 0.07202993133133206
Epoch: 400	Error for Epoch: 0.07398014814745063
Epoch: 600	Error for Epoch: 0.07248408354697806
Epoch: 800	Error for Epoch: 0.07134107211104063
Epoch: 1000	Error for Epoch: 0.07025794622900618
Epoch: 1200	Error for Epoch: 0.06968151667588485
Epoch: 1400	Error for Epoch: 0.06960559225926582
Epoch: 1600	Error for Epoch: 0.06963339718945832
Epoch: 1800	Error for Epoch: 0.06970065760412378
Epoch: 2000	Error for Epoch: 0.06976405533232032
Epoch: 2200	Error for Epoch: 0.0699577908712042
Epoch: 2400	Error for Epoch: 0.0702923866479292
Epoch: 2600	Error for Epoch: 0.07091495653738349
Epoch: 2800	Error for Epoch: 0.07205763553460522
Epoch: 3000	Error for Epoch: 0.07315986121629695
Epoch: 3200	Error for Epoch: 0.07431536846584724
Epoch: 3400	Error for Epoch: 0.07537908622084412
Epoch: 3600	Error for Epoch: 0.07627574103092562
Epoch: 3800	Error for Epoch: 0.0774721054509481
Epoch: 4000	Error for Epoch: 0.0788503916398326
Epoch: 4200	Error for Epoch: 0.08064128208037502
Epoch: 4400	Error for Epoch: 0.08350539739749292
Epoch: 4600	Error for Epoch: 0.08961971805411663
Epoch: 4800	Error for Epoch: 0.10045073711264632
Epoch: 5000	Error for Epoch: 0.0947945549133383
Epoch: 5200	Error for Epoch: 0.0850988624391693
Epoch: 5400	Error for Epoch: 0.08641457877421307
Epoch: 5600	Error for Epoch: 0.10993105262577602
Epoch: 5800	Error for Epoch: 0.09688230006424035
Epoch: 6000	Error for Epoch: 0.08034580386571362
Epoch: 6200	Error for Epoch: 0.07993103464603546
Epoch: 6400	Error for Epoch: 0.08005977119797747
Epoch: 6600	Error for Epoch: 0.08051173848622907
Epoch: 6800	Error for Epoch: 0.08112697135141117
Epoch: 7000	Error for Epoch: 0.08174236097060632
Epoch: 7200	Error for Epoch: 0.0823638893354504
Epoch: 7400	Error for Epoch: 0.08289076499749548
Epoch: 7600	Error for Epoch: 0.08331343194238737
Epoch: 7800	Error for Epoch: 0.08367521755817815
Epoch: 8000	Error for Epoch: 0.08402734608284172
Epoch: 8200	Error for Epoch: 0.08427133535167025
Epoch: 8400	Error for Epoch: 0.08440781098778391
Epoch: 8600	Error for Epoch: 0.0845320479126657
Epoch: 8800	Error for Epoch: 0.0846250410651688
Epoch: 9000	Error for Epoch: 0.08472105982688127
Epoch: 9200	Error for Epoch: 0.08484552599106396
Epoch: 9400	Error for Epoch: 0.08499909658474465
Epoch: 9600	Error for Epoch: 0.08514417843098991
Epoch: 9800	Error for Epoch: 0.08527855073791471

===TESTING ON SIN_INPUTS===

Target: [-0.9962742389390477]	Output: [-0.872566532724372]
Difference: [0.12370771]

Target: [0.06498332535382866]	Output: [0.1000448027536313]
Difference: [0.03506148]

Target: [0.6206434589904578]	Output: [0.650232475299206]
Difference: [0.02958902]

Target: [0.7802077674422275]	Output: [0.8343417320816493]
Difference: [0.05413396]

Target: [0.055361680083250084]	Output: [0.1441060743932498]
Difference: [0.08874439]

Target: [0.5272263138557167]	Output: [0.6746937915718472]
Difference: [0.14746748]

Target: [0.9999717305741224]	Output: [0.9466394504031929]
Difference: [0.05333228]

Target: [0.3027310364564399]	Output: [0.28214472524733275]
Difference: [0.02058631]

Target: [-0.5177343637677632]	Output: [-0.6113366798603299]
Difference: [0.09360232]

Target: [0.48075540273085676]	Output: [0.5541002841857434]
Difference: [0.07334488]

Target: [-0.6356399401257228]	Output: [-0.6438017373004595]
Difference: [0.0081618]

Target: [-0.6306534437822818]	Output: [-0.7282713475003917]
Difference: [0.0976179]

Target: [0.3651850532869837]	Output: [0.58209469899641]
Difference: [0.21690965]

Target: [-0.8392474769170363]	Output: [-0.8189803561861253]
Difference: [0.02026712]

Target: [0.14175152220967074]	Output: [0.16653197569378952]
Difference: [0.02478045]

Target: [0.3163923611069244]	Output: [0.5301958217023136]
Difference: [0.21380346]

Target: [-0.6071550984046548]	Output: [-0.6668492484373405]
Difference: [0.05969415]

Target: [-0.3397807129778941]	Output: [-0.7114729971929982]
Difference: [0.37169228]

Target: [0.5047117184125958]	Output: [0.7539944331921208]
Difference: [0.24928271]

Target: [-0.7149865436351133]	Output: [-0.9102558336905846]
Difference: [0.19526929]

