SIN with a Learning Rate of: 0.1 and Hidden Unit count of: 5

===PRE-TRAINING TESTING===
Multi Layered Perceptron Size: 4, 5, 1
Epochs: 10000
Learning Rate: 0.1

Target: [0.25848275015535327]	Output: [-0.9678031934438629]
Target: [0.999521079125907]	Output: [-0.9917469429430661]
Target: [0.7962216480197006]	Output: [-0.6603826721474493]
Target: [-0.2737888256562533]	Output: [-0.23811612372399965]
Target: [0.8638668786420199]	Output: [0.41440153628027854]
Target: [0.7011539556334948]	Output: [-0.41035960243456443]
Target: [-0.7742761270933327]	Output: [0.4945618237254236]
Target: [0.8659939029390948]	Output: [0.3450114119572572]
Target: [-0.955027582765842]	Output: [0.8262778863628534]
Target: [-0.9527510711361098]	Output: [0.8988881763901281]
Target: [-0.28650058655622446]	Output: [0.9930691893189811]
Target: [-0.839617940449524]	Output: [0.6643450035035025]
Target: [0.7995126225884928]	Output: [0.9676960155907365]
Target: [0.7651897683846611]	Output: [-0.752036132407984]
Target: [-0.8582236057195338]	Output: [0.9775609264467269]
Target: [-0.772216227123952]	Output: [-0.8454054259821575]
Target: [-0.9944863908543551]	Output: [0.9634669836885963]
Target: [-0.3067021135260662]	Output: [0.7187917891715604]
Target: [0.777772877195195]	Output: [-0.6622837865576651]
Target: [0.22856196006768578]	Output: [-0.9926516544434176]
Target: [-0.35546136120424954]	Output: [-0.9082424438206236]
Target: [0.8114443227821946]	Output: [-0.971370750813917]
Target: [0.9246958662782558]	Output: [-0.15799760375366304]
Target: [0.1978411780138444]	Output: [0.49557839292071476]
Target: [-0.26810891399825687]	Output: [0.68104618825941]
Target: [-0.6684023011380102]	Output: [-0.7939638172647758]
Target: [-0.9896807131893817]	Output: [0.9792268212789046]
Target: [-0.9168295452813646]	Output: [0.6137817733923735]
Target: [-0.813580066085759]	Output: [-0.8943375282816851]
Target: [-0.6805780286104428]	Output: [-0.8679674820029597]
Target: [0.1468688752285524]	Output: [-0.9395137783373416]
Target: [0.5588360868520734]	Output: [0.8980994761297962]
Target: [0.8808246153250509]	Output: [-0.9817412820930564]
Target: [-0.8132125870435603]	Output: [0.9752744623909793]
Target: [0.9347904896114386]	Output: [-0.7121825109757467]
Target: [0.2544874541611879]	Output: [0.9727681012501138]
Target: [-0.8947065076814191]	Output: [0.9744919491237517]
Target: [0.7623027714517472]	Output: [-0.9503026204074416]
Target: [-0.47936066203751193]	Output: [0.11270193800282707]
Target: [-0.09502564956121472]	Output: [-0.9371207223433093]
Target: [-0.9375083156308203]	Output: [0.37823698452325666]
Target: [0.5957946459160491]	Output: [-0.09679298948528721]
Target: [0.5925182793813822]	Output: [-0.4786430690986775]
Target: [0.9977486568828852]	Output: [-0.8697589433012598]
Target: [-0.4394350084688865]	Output: [-0.902761075681232]
Target: [0.29320510962547564]	Output: [-0.9907260732709914]
Target: [0.26054754196113167]	Output: [-0.791299028898031]
Target: [-0.3760426197277371]	Output: [0.5401097245424339]
Target: [0.9291591538235232]	Output: [-0.9016766884938793]
Target: [0.2566798686529197]	Output: [-0.9427348601197599]
Target: [0.9703645282896388]	Output: [-0.5820764251038189]
Target: [0.5424701330709963]	Output: [-0.8700631203264433]
Target: [-0.42306665240426106]	Output: [-0.48087817893096346]
Target: [-0.9162841599053285]	Output: [0.6923288386880468]
Target: [0.08030717593967476]	Output: [0.9926709836811127]
Target: [0.20976053038560122]	Output: [0.9201457475854704]
Target: [-0.3182313792087843]	Output: [0.9632619341679186]
Target: [-0.7515539759210399]	Output: [0.961300906384775]
Target: [0.5905739237182038]	Output: [-0.9361197622792097]
Target: [0.5969372280639179]	Output: [0.561139587848014]
Target: [0.5382776286330226]	Output: [-0.4296220387274328]
Target: [0.7585808208281186]	Output: [-0.9753927710089646]
Target: [0.1485796802423918]	Output: [0.7148779577446366]
Target: [0.9497799706185381]	Output: [-0.5247748701801425]
Target: [-0.8048517161776931]	Output: [0.11704351647978715]
Target: [0.7652666522106099]	Output: [0.00046970989377022874]
Target: [-0.8844634065644188]	Output: [0.786176868600765]
Target: [0.9904441629685398]	Output: [-0.004184946199444667]
Target: [-0.8345916365317716]	Output: [-0.09964079136045273]
Target: [0.4010237757560892]	Output: [-0.9751933865071403]
Target: [0.6433456856780948]	Output: [-0.042905001573205225]
Target: [0.5983582124174697]	Output: [-0.5550576724706877]
Target: [0.9996739886271866]	Output: [-0.9616337071038753]
Target: [0.5687918333036805]	Output: [0.49337522929511635]
Target: [0.8835981575967181]	Output: [-0.9883696603485865]
Target: [-0.26126234768338097]	Output: [0.9713644669664377]
Target: [0.10812837550263496]	Output: [0.9908613564683458]
Target: [0.9458962895906121]	Output: [-0.9797072510591812]
Target: [0.7486312325038389]	Output: [-0.9568443156016941]
Target: [0.4589560704206191]	Output: [-0.8526932429329489]
Target: [0.18541629888484373]	Output: [-0.9822105790691705]
Target: [-0.6815879066025056]	Output: [-0.847643307727901]
Target: [0.6589576196884697]	Output: [0.30400715754145874]
Target: [-0.9290108395294489]	Output: [-0.665680370061526]
Target: [-0.8648505235802393]	Output: [0.7317412303626054]
Target: [0.44734035848040477]	Output: [-0.9851268767088345]
Target: [-0.4796109401848204]	Output: [0.5191382543243761]
Target: [0.5589587704433124]	Output: [-0.7621056505471323]
Target: [0.9950034776841971]	Output: [0.7375879379092868]
Target: [0.2669199584310537]	Output: [0.025200274603745538]
Target: [-0.020978710386084502]	Output: [-0.706226360715263]
Target: [0.08360222538022818]	Output: [-0.7291573879298108]
Target: [0.35811250242858605]	Output: [-0.2219065071807501]
Target: [0.02680535473610577]	Output: [-0.7035920820916338]
Target: [-0.431254607326125]	Output: [-0.9267473936360426]
Target: [0.9992268704489456]	Output: [-0.9782788066152961]
Target: [-0.5087109514840742]	Output: [0.9532640423255724]
Target: [0.8155508980430115]	Output: [-0.8296256676444436]
Target: [0.46803601490109453]	Output: [0.9597696743869276]
Target: [0.09520812474986945]	Output: [-0.9864975657427852]
Target: [-0.05492426350180673]	Output: [-0.9787662487155807]
Target: [0.9864803484192448]	Output: [-0.9917445086659138]
Target: [0.2007909117623152]	Output: [0.9647171209145772]
Target: [-0.346016946591399]	Output: [-0.6754171953427947]
Target: [0.848040310545287]	Output: [-0.48061849417693586]
Target: [-0.6110843997641502]	Output: [0.914204052006276]
Target: [-0.7690431824764644]	Output: [0.9150415418226401]
Target: [-0.9886603387597241]	Output: [0.36964975507963727]
Target: [-0.9711217170335547]	Output: [0.6149688288639823]
Target: [0.65054802705651]	Output: [0.9441542573754059]
Target: [-0.3745096169614595]	Output: [-0.9546699209248727]
Target: [0.053558488871184015]	Output: [-0.9939285666301341]
Target: [-0.36315361488819015]	Output: [0.9539883505924422]
Target: [-0.9663075250537951]	Output: [0.9890625277377746]
Target: [0.7174118803571133]	Output: [-0.9466914267968087]
Target: [0.9673601468467574]	Output: [-0.9709545188136779]
Target: [0.6829709413182301]	Output: [-0.9508863350822634]
Target: [0.05136465024884329]	Output: [0.9241085870541887]
Target: [-0.6054821746607273]	Output: [-0.7908373896349715]
Target: [0.9155899677947024]	Output: [-0.9915501550445792]
Target: [-0.7299746582029352]	Output: [-0.7514675868200413]
Target: [-0.4592244452686938]	Output: [0.8329317433839875]
Target: [0.8680755767663911]	Output: [-0.9420510537230158]
Target: [0.9967572533058527]	Output: [-0.9235518727592216]
Target: [0.25843382242838464]	Output: [0.7772157191567051]
Target: [-0.006479784093052779]	Output: [0.6704553789356859]
Target: [-0.974060823995347]	Output: [0.9846413549050418]
Target: [-0.8587529936217787]	Output: [0.9943835431812983]
Target: [0.8337715359495038]	Output: [-0.9772407706579858]
Target: [0.19025712066544076]	Output: [0.9829882713684583]
Target: [-0.9852955333852569]	Output: [0.4940021317700248]
Target: [0.9996474036441132]	Output: [0.3127692523756022]
Target: [-0.7136067325499997]	Output: [0.9875108313476566]
Target: [-0.9870847482897335]	Output: [0.880181696797372]
Target: [-0.7035782477210751]	Output: [0.9950653268833222]
Target: [-0.658637236178149]	Output: [-0.9396578826144456]
Target: [0.49860566530926753]	Output: [-0.9915620149176049]
Target: [-0.9858105717069858]	Output: [0.8444382364316014]
Target: [-0.9948925203643798]	Output: [0.7775688285166613]
Target: [0.9042752116141016]	Output: [-0.054728782742400076]
Target: [0.9815630614331747]	Output: [-0.6928576430974009]
Target: [-0.9488749926603375]	Output: [0.5215708501363828]
Target: [0.955537515899632]	Output: [-0.7059123173293295]
Target: [-0.4882075904840925]	Output: [0.6367972890643258]
Target: [-0.7151416353510802]	Output: [0.9774902114912574]
Target: [0.7007406624683022]	Output: [-0.983164087540824]
Target: [-0.6454025784774841]	Output: [-0.834999894331331]
Target: [0.832336824406727]	Output: [-0.9858997801548184]
Target: [-0.4575513929232339]	Output: [0.9908443874708803]
Target: [-0.9765046752624377]	Output: [0.8957594159534361]
Target: [-0.8421380015163679]	Output: [0.9088708438834026]
Target: [-0.9643384554202564]	Output: [0.7988064048014312]
Target: [0.853060752720035]	Output: [-0.27747869115855167]
Target: [-0.751679697525496]	Output: [-0.9356247872723173]
Target: [-0.9038447865645489]	Output: [0.10355698100424389]
Target: [-0.5469285881971175]	Output: [0.2938525112217841]
Target: [-0.9981928546544417]	Output: [-0.6928211013323893]
Target: [0.48568993428776225]	Output: [-0.9492204984286423]
Target: [-0.15108822415208195]	Output: [0.9545986620192205]
Target: [0.9059650398905897]	Output: [-0.9336365267328864]
Target: [-0.4559726762325804]	Output: [-0.8750734908615946]
Target: [-0.9998651107508009]	Output: [0.9578017926318619]
Target: [0.948386766931158]	Output: [-0.9570702551021808]
Target: [-0.8615640028326327]	Output: [0.9503882013993815]
Target: [-0.7409314959854314]	Output: [0.4503028420116631]
Target: [0.19717365708639656]	Output: [-0.9933837016651698]
Target: [-0.3236749405716818]	Output: [0.9235970834452983]
Target: [-0.9878036466155673]	Output: [0.7167717857911308]
Target: [-0.9863777976394926]	Output: [0.5850366233746747]
Target: [-0.7570217967253287]	Output: [0.9919078856613175]
Target: [0.9672411906519571]	Output: [-0.848643306782775]
Target: [-0.01135707336424228]	Output: [0.9716191738226396]
Target: [-0.8434619281140757]	Output: [0.9934286535242851]
Target: [0.8668506740041546]	Output: [-0.8873382729130562]
Target: [-0.984492804935386]	Output: [0.8295137238343031]
Target: [0.24071215331395188]	Output: [-0.9434568984798228]
Target: [-0.5852943416558816]	Output: [-0.23540086609481045]
Target: [0.9927147612361079]	Output: [-0.3316544560650335]
Target: [-0.2528543023749115]	Output: [-0.7168405248772637]
Target: [-0.7233243790883336]	Output: [0.8975396048267654]
Target: [0.9443836211442528]	Output: [0.8341668200864921]
Target: [-0.6069907203782692]	Output: [0.982413553601747]
Target: [0.9786234642908834]	Output: [-0.9462488525180528]
Target: [-0.9723662430741329]	Output: [-0.30865453824406347]
Target: [-0.4513970591755972]	Output: [0.86921419835268]
Target: [0.7715319560331623]	Output: [-0.47512847291913013]
Target: [-0.36349628543881857]	Output: [0.8348373097708881]
Target: [-0.44020225621295017]	Output: [-0.9330016220135741]
Target: [-0.49204373436233995]	Output: [-0.6414244581983249]
Target: [0.2626344152877741]	Output: [0.9351372678729513]
Target: [0.06785694433673865]	Output: [-0.90127290638078]
Target: [-0.8477218894192123]	Output: [0.9692794720866512]
Target: [-0.017799346757539594]	Output: [-0.974912755134781]
Target: [0.9226033226300392]	Output: [0.5241163581983874]
Target: [-0.09218583773750855]	Output: [-0.9418003156079857]
Target: [0.24623778157353163]	Output: [0.9700897947966546]
Target: [0.9807281290992751]	Output: [-0.7506971830932598]
Target: [0.3396593116118912]	Output: [0.7196167074402369]
Target: [0.9486623887370715]	Output: [-0.8893704633511951]
Target: [-0.7737812921000025]	Output: [0.12967988235314476]
Target: [0.7918613182849333]	Output: [0.9431943790027945]
Target: [0.9749298496449429]	Output: [-0.9149219526280058]
Target: [-0.9276420990453212]	Output: [-0.01837835000956454]
Target: [0.9803068819566615]	Output: [-0.890183002712566]
Target: [0.9186350182056311]	Output: [-0.9272454692396367]
Target: [-0.539524074604565]	Output: [0.9937292353661401]
Target: [0.7622664310430489]	Output: [0.7534947444628778]
Target: [-0.9455115463510307]	Output: [0.18171062412696692]
Target: [0.08006234361298674]	Output: [-0.8012199695795694]
Target: [0.997154560019442]	Output: [-0.9797278282314194]
Target: [0.4168964067584198]	Output: [-0.987453957595936]
Target: [0.648692846778414]	Output: [-0.9938327161469677]
Target: [-0.3096302656836674]	Output: [0.8770304955717879]
Target: [0.9985944021618215]	Output: [-0.9174823425769888]
Target: [-0.4573393583295192]	Output: [0.0985999642349574]
Target: [-0.6264223357951977]	Output: [0.9215509366730315]
Target: [-0.9927615039690737]	Output: [0.9938070798909988]
Target: [-0.9700447902877989]	Output: [-0.8235888127925245]
Target: [0.7630274501553412]	Output: [-0.4142219713760634]
Target: [-0.9956941007630905]	Output: [0.6570705715621361]
Target: [-0.31394498646816543]	Output: [-0.7819158706447628]
Target: [0.9316289025223046]	Output: [0.820668582791454]
Target: [0.521940325186178]	Output: [0.28500720097986326]
Target: [0.2631476566317204]	Output: [-0.8184398858709276]
Target: [-0.37089542261074687]	Output: [0.9588742155995331]
Target: [-0.9907351205653506]	Output: [0.9793499296671719]
Target: [0.8188493047448435]	Output: [-0.8320161890759921]
Target: [0.12465702139618737]	Output: [-0.28243348165931614]
Target: [0.912538668772086]	Output: [-0.9542033000274928]
Target: [-0.9999759320388291]	Output: [0.669223414418262]
Target: [0.5000862636293214]	Output: [-0.9738182202353791]
Target: [-0.9945577625004284]	Output: [0.8438703593568407]
Target: [-0.9981007835882967]	Output: [-0.04560100568563982]
Target: [0.2949338111083369]	Output: [0.9085580951269193]
Target: [0.4663854209808111]	Output: [0.6845220320148414]
Target: [0.9181998246314964]	Output: [0.6791939139691178]
Target: [0.9950097979939126]	Output: [-0.8688418187418327]
Target: [0.7452040610954027]	Output: [-0.9911449009633405]
Target: [-0.6341205603844463]	Output: [0.9944888405555444]
Target: [-0.723778034662163]	Output: [0.724576816615568]
Target: [-0.4028103200875225]	Output: [0.9585496668324855]
Target: [0.8895523193720585]	Output: [-0.9866354969752346]
Target: [0.3345812079724444]	Output: [-0.9369740422437407]
Target: [0.7432870850136069]	Output: [-0.6419738318904377]
Target: [0.6418746355139345]	Output: [-0.8871025311559962]
Target: [0.7091578739276785]	Output: [0.3221049596516616]
Target: [-0.24789336735263043]	Output: [-0.7081110114215743]
Target: [-0.6823858370045917]	Output: [0.740073312448132]
Target: [-0.9963928444906289]	Output: [0.9813792700561416]
Target: [0.6623630704826883]	Output: [0.9473920555128829]
Target: [-0.009663281255153278]	Output: [-0.9674534407461878]
Target: [0.2846160135840994]	Output: [0.9612869563040463]
Target: [0.8502542580197798]	Output: [0.7944804191876085]
Target: [0.8500116488181779]	Output: [-0.07370131187798028]
Target: [-0.42197819017555]	Output: [0.9924365544637583]
Target: [-0.43527867089366207]	Output: [-0.9363557237596518]
Target: [-0.6975460943676358]	Output: [-0.27169219490151775]
Target: [-0.9801723431329489]	Output: [0.9621363254416169]
Target: [-0.9532403689453981]	Output: [0.8491709704862231]
Target: [-0.9999460452302155]	Output: [0.38017354006760196]
Target: [-0.288773752155181]	Output: [-0.8604730116672638]
Target: [-0.9980598833113395]	Output: [0.996155408739859]
Target: [0.8974047154606858]	Output: [-0.9878443710776621]
Target: [-0.36212914195325485]	Output: [0.4485688885122617]
Target: [0.5115410043540423]	Output: [0.9037104831298088]
Target: [-0.8135443152066181]	Output: [0.07652706515836898]
Target: [-0.9917392192512013]	Output: [-0.2857517368182482]
Target: [-0.9445698796222899]	Output: [0.987208718873051]
Target: [-0.8766020961699243]	Output: [0.8353830289841319]
Target: [-0.9967908772598825]	Output: [0.8282185545606702]
Target: [0.780787657294601]	Output: [-0.8688409972588328]
Target: [-0.9789583683254738]	Output: [0.6851467578027539]
Target: [0.6669669094531872]	Output: [0.4933170500086006]
Target: [0.845914013846878]	Output: [-0.6172120158727412]
Target: [0.8474766248269912]	Output: [-0.8986682125348812]
Target: [-0.8227232396724711]	Output: [-0.9638437347750937]
Target: [0.9914329647478446]	Output: [-0.6151097592108046]
Target: [-0.9998934057733124]	Output: [0.9918727805933852]
Target: [-0.004242940032137865]	Output: [0.8009430257756561]
Target: [-0.8938198585025044]	Output: [0.8012872286438997]
Target: [-0.37313846404952206]	Output: [0.7338740975321479]
Target: [-0.6115810038964127]	Output: [-0.8914261472312349]
Target: [-0.42581236734727673]	Output: [0.9535900317906162]
Target: [0.8971758146883535]	Output: [-0.9887680982127806]
Target: [0.9990595604223866]	Output: [0.4618330214499161]
Target: [0.2552401972474168]	Output: [-0.9930338648891821]
Target: [0.9885442286327611]	Output: [-0.5642107776412663]
Target: [0.5124607265598475]	Output: [-0.9923323293094964]
Target: [0.9138863796555788]	Output: [-0.9940626963145188]
Target: [-0.9539859562766839]	Output: [0.9893149369617414]
Target: [-0.006627917512329009]	Output: [-0.6670379578750146]
Target: [-0.16438512535684188]	Output: [-0.01371645614357457]
Target: [0.5767116913363257]	Output: [0.8563888541661292]
Target: [-0.18107743705474544]	Output: [-0.6870543570984659]
Target: [-0.25374656947760466]	Output: [-0.8348080248629927]
Target: [-0.9320545260123897]	Output: [0.9655892246551376]
Target: [0.42750373503345745]	Output: [-0.8446513547992142]
Target: [-0.9691849497392778]	Output: [-0.6888210146729736]
Target: [-0.5290470521370397]	Output: [0.993661311429649]
Target: [-0.5519120067528058]	Output: [-0.8987484564882005]
Target: [0.65418642195901]	Output: [-0.9368207988185605]
Target: [0.9968433608548292]	Output: [-0.9063090925389949]
Target: [0.9994445108668724]	Output: [-0.9962469041864381]
Target: [-0.7002103720508548]	Output: [0.9848778979393589]
Target: [-0.29089132416736746]	Output: [-0.8105730186289555]
Target: [0.5831432069113186]	Output: [-0.9821060268631704]
Target: [0.8634060167197893]	Output: [-0.9875096516579412]
Target: [-0.044998181896680096]	Output: [-0.809370323476209]
Target: [-0.9889759412398897]	Output: [-0.051300484858812244]
Target: [-0.3142735743280619]	Output: [-0.9788635270419157]
Target: [-0.8815234305335371]	Output: [0.9893046265787054]
Target: [-0.2662764357779763]	Output: [0.966541629275219]
Target: [-0.3859706664253885]	Output: [0.8894993156842638]
Target: [0.21393032612209095]	Output: [-0.9710330570396755]
Target: [0.9294188868024985]	Output: [-0.17479722857318178]
Target: [0.669755638700704]	Output: [-0.9936877158723162]
Target: [-0.19411807084947186]	Output: [-0.19059758043129127]
Target: [0.25405696235083175]	Output: [-0.9828291984711667]
Target: [0.904660434974916]	Output: [0.12915658371579403]
Target: [0.8758244664686967]	Output: [-0.973406246449049]

===TRAINING===

Epoch: 0	Error for Epoch: 0.20858165468390383
Epoch: 200	Error for Epoch: 0.10527820654447083
Epoch: 400	Error for Epoch: 0.10353388213554211
Epoch: 600	Error for Epoch: 0.10207967987818364
Epoch: 800	Error for Epoch: 0.10124958680997201
Epoch: 1000	Error for Epoch: 0.10078849635767075
Epoch: 1200	Error for Epoch: 0.1004352817725012
Epoch: 1400	Error for Epoch: 0.10023072829224411
Epoch: 1600	Error for Epoch: 0.10021786880925754
Epoch: 1800	Error for Epoch: 0.10023729238455126
Epoch: 2000	Error for Epoch: 0.10029821370054606
Epoch: 2200	Error for Epoch: 0.10036094379899396
Epoch: 2400	Error for Epoch: 0.10041855356787714
Epoch: 2600	Error for Epoch: 0.10048058308249962
Epoch: 2800	Error for Epoch: 0.1005556952933485
Epoch: 3000	Error for Epoch: 0.10065959756599163
Epoch: 3200	Error for Epoch: 0.10078304477058118
Epoch: 3400	Error for Epoch: 0.10090611851243965
Epoch: 3600	Error for Epoch: 0.10103144789557572
Epoch: 3800	Error for Epoch: 0.1011616738717024
Epoch: 4000	Error for Epoch: 0.10128915298736758
Epoch: 4200	Error for Epoch: 0.10141396495052779
Epoch: 4400	Error for Epoch: 0.10153833707028116
Epoch: 4600	Error for Epoch: 0.10166889096540029
Epoch: 4800	Error for Epoch: 0.10180741319005263
Epoch: 5000	Error for Epoch: 0.10194383094924425
Epoch: 5200	Error for Epoch: 0.1020778273357909
Epoch: 5400	Error for Epoch: 0.10220861143726348
Epoch: 5600	Error for Epoch: 0.10233554964099852
Epoch: 5800	Error for Epoch: 0.1024567884759055
Epoch: 6000	Error for Epoch: 0.10257550490769454
Epoch: 6200	Error for Epoch: 0.10269001597282677
Epoch: 6400	Error for Epoch: 0.10279478225539986
Epoch: 6600	Error for Epoch: 0.10289209898246891
Epoch: 6800	Error for Epoch: 0.10298070737009997
Epoch: 7000	Error for Epoch: 0.10306216546268225
Epoch: 7200	Error for Epoch: 0.10313907122555506
Epoch: 7400	Error for Epoch: 0.10320967440384997
Epoch: 7600	Error for Epoch: 0.10327477163677681
Epoch: 7800	Error for Epoch: 0.10333503878783849
Epoch: 8000	Error for Epoch: 0.10339103395387134
Epoch: 8200	Error for Epoch: 0.10344321355178308
Epoch: 8400	Error for Epoch: 0.10349478204712385
Epoch: 8600	Error for Epoch: 0.10354324646957526
Epoch: 8800	Error for Epoch: 0.10358869028997963
Epoch: 9000	Error for Epoch: 0.10363338786257983
Epoch: 9200	Error for Epoch: 0.10367653710451531
Epoch: 9400	Error for Epoch: 0.10371751590179343
Epoch: 9600	Error for Epoch: 0.10375632335388124
Epoch: 9800	Error for Epoch: 0.10379297741593438

===TESTING ON SIN_INPUTS===

Target: [0.25848275015535327]	Output: [0.8979577613593476]
Difference: [0.63947501]

Target: [-0.2795330136839817]	Output: [-0.2681104225481274]
Difference: [0.01142259]

Target: [-0.020498110022987865]	Output: [0.17585418271244885]
Difference: [0.19635229]

Target: [-0.7817933920635656]	Output: [-0.8256843605208608]
Difference: [0.04389097]

Target: [-0.8922742250202896]	Output: [-0.8994880683894863]
Difference: [0.00721384]

Target: [-0.23932901461650152]	Output: [-0.3723668228917826]
Difference: [0.13303781]

Target: [-0.08407248497975563]	Output: [-0.18628324031294335]
Difference: [0.10221076]

Target: [0.6847603902975404]	Output: [0.6792863127746183]
Difference: [0.00547408]

Target: [0.5077189862211149]	Output: [0.5684490872251424]
Difference: [0.0607301]

Target: [-0.8313139842048016]	Output: [-0.6965829901959166]
Difference: [0.13473099]

Target: [-0.9926769705645172]	Output: [-0.9051313538114074]
Difference: [0.08754562]

Target: [-0.5843202505534035]	Output: [-0.6077031053194876]
Difference: [0.02338285]

Target: [-0.5298568041858794]	Output: [-0.6144054575362455]
Difference: [0.08454865]

Target: [0.06556051597869976]	Output: [0.27664268102959594]
Difference: [0.21108217]

Target: [0.9303054623671885]	Output: [0.793486341541929]
Difference: [0.13681912]

Target: [-0.7825557966075]	Output: [-0.735227384565953]
Difference: [0.04732841]

Target: [0.42364391438545773]	Output: [0.6425487504993402]
Difference: [0.21890484]

Target: [0.4975227511095266]	Output: [0.5934830997906295]
Difference: [0.09596035]

Target: [-0.9592593175254711]	Output: [-0.9152890874722528]
Difference: [0.04397023]

Target: [-0.6585523222458098]	Output: [-0.6603922482453863]
Difference: [0.00183993]

Target: [0.7427307674376944]	Output: [0.7981739049984191]
